# Time-averaged data for fix msdoutX
# TimeStep c_msdO[2]
100 5.43089e-06
200 0.0001093
300 0.000629719
400 0.00226866
500 0.00636847
600 0.014759
700 0.0279732
800 0.0426027
900 0.0509795
1000 0.0447892
1100 0.0238043
1200 0.00466407
1300 0.01531
1400 0.0714462
1500 0.167167
1600 0.285097
1700 0.406436
1800 0.517697
1900 0.611689
2000 0.685474
2100 0.738333
2200 0.770452
2300 0.782228
2400 0.773381
2500 0.740993
2600 0.678227
2700 0.581489
2800 0.464485
2900 0.356884
3000 0.279716
3100 0.241791
3200 0.253113
3300 0.325388
3400 0.45469
3500 0.607347
3600 0.747157
3700 0.857119
3800 0.936344
3900 0.989387
4000 1.01935
4100 1.02709
4200 1.01202
4300 0.972589
4400 0.90649
4500 0.811861
4600 0.690234
4700 0.549438
4800 0.403782
4900 0.271204
5000 0.168429
5100 0.105574
5200 0.0860527
5300 0.103088
5400 0.146824
5500 0.207657
5600 0.271379
5700 0.327478
5800 0.373714
5900 0.413177
6000 0.449756
6100 0.483204
6200 0.514021
6300 0.543941
6400 0.574805
6500 0.608273
6600 0.646493
6700 0.692059
6800 0.747454
6900 0.815629
7000 0.901511
7100 1.01389
7200 1.16685
7300 1.37524
7400 1.61187
7500 1.79625
7600 1.85129
7700 1.7843
7800 1.66424
7900 1.5444
8000 1.44146
8100 1.36464
8200 1.31901
8300 1.30569
8400 1.32394
8500 1.37251
8600 1.45025
8700 1.55618
8800 1.68871
8900 1.84285
9000 2.00785
9100 2.16369
9200 2.28035
9300 2.33
9400 2.31229
9500 2.26348
9600 2.21566
9700 2.17102
9800 2.12218
9900 2.06556
10000 2.00175
10100 1.93552
10200 1.87531
10300 1.83111
10400 1.81251
10500 1.82709
10600 1.8798
10700 1.97275
10800 2.10456
10900 2.26985
11000 2.45925
11100 2.66081
11200 2.86393
11300 3.06404
11400 3.26389
11500 3.47105
11600 3.6946
11700 3.94321
11800 4.22423
11900 4.54267
12000 4.89986
12100 5.29302
12200 5.71678
12300 6.16648
12400 6.63959
12500 7.13567
12600 7.65568
12700 8.19964
12800 8.7643
12900 9.34391
13000 9.93214
13100 10.5236
13200 11.1144
13300 11.7021
13400 12.286
13500 12.867
13600 13.4492
13700 14.0437
13800 14.6757
13900 15.3919
14000 16.2582
14100 17.3319
14200 18.6159
14300 20.0337
14400 21.4471
14500 22.7078
14600 23.7211
14700 24.4718
14800 24.9938
14900 25.3274
15000 25.5002
15100 25.5241
15200 25.3985
15300 25.1113
15400 24.6319
15500 23.8835
15600 22.6873
15700 20.8747
15800 18.764
15900 16.9719
16000 15.6572
16100 14.6207
16200 13.7038
16300 12.8495
16400 12.0499
16500 11.3148
16600 10.6525
16700 10.0645
16800 9.54654
16900 9.09248
17000 8.69639
17100 8.35326
17200 8.05814
17300 7.80669
17400 7.59384
17500 7.42139
17600 7.29693
17700 7.20653
17800 7.11896
17900 7.01577
18000 6.87806
18100 6.69524
18200 6.47561
18300 6.23333
18400 5.98221
18500 5.73947
18600 5.5233
18700 5.35006
18800 5.23062
18900 5.16799
19000 5.15975
19100 5.19778
19200 5.26648
19300 5.35118
19400 5.44801
19500 5.55993
19600 5.69093
19700 5.84469
19800 6.02484
19900 6.23475
20000 6.47645
20100 6.74831
20200 7.04234
20300 7.34341
20400 7.63372
20500 7.90131
20600 8.14506
20700 8.38367
20800 8.64672
20900 8.93354
21000 9.22293
21100 9.49898
21200 9.7741
21300 10.058
21400 10.3576
21500 10.6785
21600 11.0271
21700 11.4124
21800 11.8481
21900 12.3556
22000 12.9642
22100 13.7002
22200 14.5567
22300 15.4731
22400 16.3685
22500 17.1956
22600 17.9525
22700 18.6599
22800 19.3268
22900 19.9322
23000 20.4488
23100 20.8564
23200 21.146
23300 21.3184
23400 21.38
23500 21.3402
23600 21.208
23700 20.9898
23800 20.6799
23900 20.2524
24000 19.6514
24100 18.8085
24200 17.7099
24300 16.4568
24400 15.2377
24500 14.2183
24600 13.4502
24700 12.8898
24800 12.4717
24900 12.145
25000 11.8746
25100 11.6352
25200 11.4069
25300 11.173
25400 10.9195
25500 10.6343
25600 10.3065
25700 9.92822
25800 9.49936
25900 9.03407
26000 8.56405
26100 8.13651
26200 7.80546
26300 7.58673
26400 7.43719
26500 7.31351
26600 7.19456
26700 7.07096
26800 6.93938
26900 6.80088
27000 6.65991
27100 6.52252
27200 6.39359
27300 6.27698
27400 6.17672
27500 6.11082
27600 6.11761
27700 6.23038
27800 6.46843
27900 6.83315
28000 7.29398
28100 7.77213
28200 8.18795
28300 8.52414
28400 8.81471
28500 9.09852
28600 9.40099
28700 9.73709
28800 10.1163
28900 10.5438
29000 11.0175
29100 11.5224
29200 12.0262
29300 12.4838
29400 12.8556
29500 13.126
29600 13.3054
29700 13.4142
29800 13.4731
29900 13.4987
30000 13.5018
30100 13.4877
30200 13.4584
30300 13.413
30400 13.3513
30500 13.277
30600 13.1974
30700 13.1195
30800 13.049
30900 12.9911
31000 12.95
31100 12.9287
31200 12.9278
31300 12.9461
31400 12.9795
31500 13.0189
31600 13.0452
31700 13.0259
31800 12.9234
31900 12.7085
32000 12.387
32100 11.9849
32200 11.5462
32300 11.1192
32400 10.7333
32500 10.3924
32600 10.0867
32700 9.80243
32800 9.52649
32900 9.24713
33000 8.95331
33100 8.63311
