# Time-averaged data for fix msdoutY
# TimeStep c_msdO[3]
100 1.59121e-05
200 0.000325346
300 0.00192894
400 0.00726987
500 0.021837
600 0.0559054
700 0.122256
800 0.228155
900 0.369215
1000 0.524956
1100 0.665172
1200 0.770228
1300 0.834499
1400 0.868768
1500 0.885252
1600 0.891722
1700 0.895128
1800 0.900507
1900 0.911126
2000 0.929136
2100 0.956127
2200 0.993775
2300 1.04469
2400 1.11443
2500 1.21596
2600 1.37494
2700 1.62327
2800 1.96834
2900 2.36028
3000 2.72001
3100 2.96279
3200 3.03944
3300 2.97493
3400 2.81971
3500 2.64092
3600 2.48228
3700 2.35613
3800 2.25944
3900 2.18535
4000 2.12884
4100 2.08696
4200 2.05858
4300 2.04407
4400 2.04464
4500 2.06191
4600 2.09789
4700 2.15376
4800 2.22722
4900 2.31077
5000 2.39309
5100 2.46117
5200 2.49237
5300 2.46806
5400 2.38168
5500 2.24317
5600 2.07767
5700 1.918
5800 1.77877
5900 1.66795
6000 1.59048
6100 1.54387
6200 1.52268
6300 1.52062
6400 1.5334
6500 1.55922
6600 1.59815
6700 1.6515
6800 1.72155
6900 1.81176
7000 1.92767
7100 2.07899
7200 2.27357
7300 2.49341
7400 2.66843
7500 2.73187
7600 2.72633
7700 2.72572
7800 2.74285
7900 2.777
8000 2.82805
8100 2.89413
8200 2.97378
8300 3.06705
8400 3.17476
8500 3.29875
8600 3.4431
8700 3.61418
8800 3.81998
8900 4.07122
9000 4.38351
9100 4.77841
9200 5.28097
9300 5.9094
9400 6.64943
9500 7.42998
9600 8.15197
9700 8.76057
9800 9.28109
9900 9.77791
10000 10.3044
10100 10.8918
10200 11.5544
10300 12.2945
10400 13.1047
10500 13.9698
10600 14.8679
10700 15.7708
10800 16.6444
10900 17.4525
11000 18.1633
11100 18.7566
11200 19.2299
11300 19.6004
11400 19.8959
11500 20.1444
11600 20.3679
11700 20.5842
11800 20.8104
11900 21.0655
12000 21.3729
12100 21.7603
12200 22.2546
12300 22.8699
12400 23.6012
12500 24.4248
12600 25.2987
12700 26.1671
12800 26.9745
12900 27.6766
13000 28.2435
13100 28.6603
13200 28.9236
13300 29.0377
13400 29.0121
13500 28.859
13600 28.5926
13700 28.2269
13800 27.7714
13900 27.2297
14000 26.614
14100 25.9779
14200 25.4255
14300 25.0626
14400 24.9333
14500 25.0096
14600 25.2284
14700 25.5319
14800 25.8817
14900 26.2527
15000 26.6248
15100 26.9801
15200 27.3022
15300 27.5775
15400 27.7976
15500 27.96
15600 28.0656
15700 28.1103
15800 28.1116
15900 28.1245
16000 28.1829
16100 28.2948
16200 28.4556
16300 28.6381
16400 28.7969
16500 28.8876
16600 28.8836
16700 28.7753
16800 28.5644
16900 28.2575
17000 27.8644
17100 27.3961
17200 26.8615
17300 26.2676
17400 25.6138
17500 24.9111
17600 24.1877
17700 23.4916
17800 22.9017
17900 22.546
18000 22.4893
18100 22.6917
18200 23.1099
18300 23.6945
18400 24.3704
18500 25.055
18600 25.6871
18700 26.225
18800 26.6425
18900 26.9312
19000 27.0931
19100 27.1379
19200 27.0891
19300 26.978
19400 26.8215
19500 26.6212
