# Time-averaged data for fix msdoutZ
# TimeStep c_msdO[4]
100 2.14361e-05
200 0.00043656
300 0.00256922
400 0.00957606
500 0.0283112
600 0.0709118
700 0.150692
800 0.271428
900 0.420901
1000 0.570162
1100 0.689324
1200 0.777491
1300 0.858835
1400 0.959536
1500 1.08463
1600 1.22272
1700 1.36047
1800 1.48863
1900 1.603
2000 1.70282
2100 1.7891
2200 1.86385
2300 1.93025
2400 1.99379
2500 2.06477
2600 2.16241
2700 2.31605
2800 2.54983
2900 2.84922
3000 3.1602
3100 3.41364
3200 3.58689
3300 3.73064
3400 3.88895
3500 4.06609
3600 4.23671
3700 4.38074
3800 4.4954
3900 4.58544
4000 4.65523
4100 4.70706
4200 4.74201
4300 4.76064
4400 4.7632
4500 4.75051
4600 4.72643
4700 4.69977
4800 4.68314
4900 4.68944
5000 4.72843
5100 4.80318
5200 4.90586
5300 5.02283
5400 5.14925
5500 5.29488
5600 5.4791
5700 5.71062
5800 5.98221
5900 6.27298
6000 6.54975
6100 6.79148
6200 6.99047
6300 7.15358
6400 7.2932
6500 7.42095
6600 7.54676
6700 7.67967
6800 7.82852
6900 8.00377
7000 8.221
7100 8.50632
7200 8.90179
7300 9.46317
7400 10.2289
7500 11.2109
7600 12.3491
7700 13.4501
7800 14.3827
7900 15.1648
8000 15.8478
8100 16.4572
8200 17.0078
8300 17.5129
8400 17.984
8500 18.4325
8600 18.8712
8700 19.3135
8800 19.7704
8900 20.2488
9000 20.7508
9100 21.2688
9200 21.7834
9300 22.2744
9400 22.737
9500 23.1762
9600 23.5777
9700 23.9182
9800 24.2082
9900 24.4839
10000 24.7784
10100 25.1136
10200 25.5017
10300 25.9473
10400 26.4486
10500 26.9993
10600 27.5886
10700 28.2012
10800 28.8168
10900 29.4118
11000 29.9624
11100 30.4505
11200 30.8688
11300 31.2243
11400 31.5367
11500 31.8292
11600 32.1229
11700 32.4368
11800 32.7894
11900 33.2004
12000 33.6905
12100 34.281
12200 34.9912
12300 35.8293
12400 36.7897
12500 37.8536
12600 38.9876
12700 40.1443
12800 41.2723
12900 42.3269
13000 43.2729
13100 44.0885
13200 44.7639
13300 45.2975
13400 45.6941
13500 45.9633
13600 46.1194
13700 46.1822
13800 46.1796
13900 46.1526
14000 46.1724
14100 46.3594
14200 46.8539
14300 47.7306
14400 48.9266
14500 50.2637
14600 51.5567
14700 52.7032
14800 53.6823
14900 54.5038
15000 55.1745
15100 55.6907
15200 56.0387
15300 56.1986
15400 56.1428
15500 55.8187
15600 55.1098
15700 53.9123
15800 52.477
15900 51.2467
16000 50.3203
16100 49.5522
16200 48.8252
16300 48.0877
16400 47.3198
16500 46.5149
16600 45.6721
16700 44.7927
16800 43.8796
16900 42.9369
17000 41.9722
17100 40.996
17200 40.0171
17300 39.0447
17400 38.0803
17500 37.1565
17600 36.3499
17700 35.7682
17800 35.5276
17900 35.7773
18000 36.4944
18100 37.458
18200 38.5027
18300 39.5244
18400 40.4434
18500 41.2176
18600 41.8401
18700 42.3205
18800 42.6716
18900 42.9051
19000 43.03
19100 43.0552
19200 42.9986
19300 42.8837
19400 42.7215
19500 42.5094
19600 42.2395
19700 41.9026
19800 41.4883
19900 40.9852
20000 40.3813
20100 39.6697
20200 38.86
20300 38.0012
20400 37.1926
20500 36.5563
20600 36.2099
20700 36.3426
20800 37.0214
20900 38.0765
21000 39.2356
21100 40.3051
21200 41.286
21300 42.1857
21400 43.0074
21500 43.7528
21600 44.4242
21700 45.028
21800 45.5765
21900 46.0894
22000 46.594
22100 47.1195
22200 47.6842
22300 48.2834
22400 48.8991
22500 49.5167
22600 50.1478
22700 50.8428
22800 51.5752
22900 52.2345
23000 52.7506
23100 53.0818
23200 53.2078
23300 53.1278
23400 52.857
23500 52.42
23600 51.8479
23700 51.1726
23800 50.4121
23900 49.5628
24000 48.6003
24100 47.5282
24200 46.4435
24300 45.5266
24400 44.9311
24500 44.6918
24600 44.7313
24700 44.9439
24800 45.2574
24900 45.6271
25000 46.0174
25100 46.3954
25200 46.7279
25300 46.983
25400 47.1343
25500 47.1593
25600 47.035
25700 46.7358
25800 46.2373
25900 45.532
26000 44.6582
26100 43.7281
26200 42.9129
26300 42.31
26400 41.8534
26500 41.4474
26600 41.0409
26700 40.6066
26800 40.1235
26900 39.572
27000 38.9349
27100 38.203
27200 37.3845
27300 36.5169
27400 35.6719
27500 35.0549
27600 35.0081
27700 35.8053
27800 37.5739
27900 40.2024
28000 43.2676
28100 46.1093
28200 48.2352
28300 49.6239
28400 50.5076
28500 51.0725
28600 51.4027
28700 51.5266
28800 51.4519
28900 51.1818
29000 50.7256
29100 50.1128
29200 49.4033
29300 48.6827
29400 48.0302
29500 47.4851
29600 47.0494
29700 46.7198
29800 46.4964
29900 46.373
30000 46.331
30100 46.3455
30200 46.3827
30300 46.3978
30400 46.3503
30500 46.2204
30600 46.012
30700 45.7399
30800 45.425
30900 45.0902
31000 44.7588
31100 44.4506
31200 44.1803
31300 43.9632
31400 43.8168
31500 43.7676
31600 43.8571
31700 44.1159
31800 44.5365
31900 45.0981
32000 45.7418
32100 46.4163
32200 47.0594
32300 47.5891
32400 47.9538
32500 48.1545
32600 48.2136
32700 48.1491
32800 47.9664
32900 47.6579
33000 47.2013
33100 46.5554
33200 45.6551
33300 44.4129
33400 42.76
33500 40.7731
33600 38.8119
33700 37.1859
33800 35.9834
33900 35.1902
34000 34.914
34100 35.2748
34200 36.189
34300 37.381
34400 38.6004
34500 39.7551
34600 40.7888
