# Time-averaged data for fix msdoutY
# TimeStep c_msdO[3]
100 8.52741
200 8.48722
300 8.41342
400 8.29447
500 8.11209
600 7.84991
700 7.51367
800 7.13923
900 6.78035
1000 6.49485
1100 6.33276
1200 6.32231
1300 6.45789
1400 6.69908
1500 6.98291
1600 7.25549
1700 7.4853
1800 7.66132
1900 7.78569
2000 7.86697
2100 7.91438
2200 7.9339
2300 7.92843
2400 7.89972
2500 7.84778
2600 7.76656
2700 7.6378
2800 7.42862
2900 7.11097
3000 6.69398
3100 6.22984
3200 5.79964
3300 5.47253
3400 5.25619
3500 5.11509
3600 5.02996
3700 4.99771
3800 5.00345
3900 5.02609
4000 5.05136
4100 5.07204
4200 5.0825
4300 5.07793
4400 5.05687
4500 5.01844
4600 4.95457
4700 4.84255
4800 4.65092
4900 4.37485
5000 4.04254
5100 3.68973
5200 3.35466
5300 3.06339
5400 2.81726
5500 2.60599
5600 2.42208
5700 2.2603
5800 2.11408
5900 1.97738
6000 1.848
6100 1.72505
6200 1.60519
6300 1.482
6400 1.34672
6500 1.18934
6600 1.00775
6700 0.818302
6800 0.646341
6900 0.507237
7000 0.400336
7100 0.317551
7200 0.252142
7300 0.199708
7400 0.156417
7500 0.119374
7600 0.0874398
7700 0.0603652
7800 0.0378172
7900 0.0199447
8000 0.00829649
8100 0.00611743
8200 0.0191703
8300 0.0563581
8400 0.12466
8500 0.216933
8600 0.309524
8700 0.385797
8800 0.450383
8900 0.51413
9000 0.584212
9100 0.664189
9200 0.756571
9300 0.864707
9400 0.992197
9500 1.14277
9600 1.32451
9700 1.55285
9800 1.84575
9900 2.21637
10000 2.66914
10100 3.19029
10200 3.7321
10300 4.22124
10400 4.60273
10500 4.87606
10600 5.07498
10700 5.22969
10800 5.35948
10900 5.47695
11000 5.58754
11100 5.69175
11200 5.7916
11300 5.89198
11400 5.9946
11500 6.09861
11600 6.21454
11700 6.37689
11800 6.64274
11900 7.06495
12000 7.65346
12100 8.35867
12200 9.10008
12300 9.80766
12400 10.45
12500 11.0315
12600 11.568
12700 12.072
12800 12.5541
12900 13.0249
13000 13.4932
13100 13.9668
13200 14.4584
13300 14.9854
13400 15.5659
13500 16.2183
13600 16.9585
13700 17.7901
13800 18.6939
13900 19.6248
14000 20.5163
14100 21.2985
14200 21.9174
14300 22.3543
14400 22.6384
14500 22.8181
14600 22.9277
14700 22.9826
14800 22.9883
14900 22.9461
15000 22.851
15100 22.6911
15200 22.4528
15300 22.127
15400 21.7118
15500 21.2222
15600 20.7061
15700 20.2518
15800 19.977
15900 19.9734
16000 20.2671
16100 20.7981
16200 21.4317
16300 22.0542
16400 22.6079
16500 23.074
16600 23.4549
16700 23.7636
16800 24.0183
16900 24.2384
17000 24.4451
17100 24.6593
17200 24.9057
17300 25.2227
17400 25.6806
17500 26.3877
17600 27.3593
17700 28.3968
17800 29.2773
17900 29.9306
18000 30.3951
18100 30.7195
18200 30.9333
18300 31.0513
18400 31.0815
18500 31.0298
18600 30.9006
18700 30.697
18800 30.4258
18900 30.1031
19000 29.7514
19100 29.3999
19200 29.0857
19300 28.8465
19400 28.7058
19500 28.6618
19600 28.6863
19700 28.7366
19800 28.7744
19900 28.7843
20000 28.7774
20100 28.7826
20200 28.8334
20300 28.9572
20400 29.1696
20500 29.4729
20600 29.8604
20700 30.3313
20800 30.9031
20900 31.6054
21000 32.4496
21100 33.3971
21200 34.3733
21300 35.315
21400 36.1945
21500 37.0009
21600 37.729
21700 38.3748
21800 38.9289
21900 39.3817
22000 39.73
22100 39.9744
22200 40.1136
22300 40.143
22400 40.0572
22500 39.8444
22600 39.4824
22700 38.9546
22800 38.3067
22900 37.7201
23000 37.4595
23100 37.6371
23200 38.1349
23300 38.7706
23400 39.4219
23500 40.0132
23600 40.5089
23700 40.8968
23800 41.172
23900 41.3334
24000 41.3817
24100 41.3152
24200 41.1295
24300 40.8196
24400 40.3879
24500 39.8645
24600 39.333
24700 38.9068
24800 38.6334
24900 38.4611
25000 38.3206
25100 38.1672
25200 37.972
25300 37.7159
25400 37.3861
25500 36.9796
25600 36.4991
25700 35.9569
25800 35.381
25900 34.8195
26000 34.3352
26100 33.9869
26200 33.7956
26300 33.717
26400 33.6666
26500 33.578
26600 33.4256
26700 33.2126
26800 32.9551
26900 32.6717
27000 32.3751
27100 32.0728
27200 31.7704
27300 31.4725
27400 31.1792
27500 30.882
27600 30.566
27700 30.1968
27800 29.7077
27900 29.0489
28000 28.2877
28100 27.566
28200 26.9606
28300 26.457
28400 26.0099
28500 25.5819
28600 25.1492
28700 24.6951
28800 24.206
28900 23.6691
29000 23.0692
29100 22.3877
29200 21.6018
29300 20.6851
29400 19.6156
29500 18.39
29600 17.0498
29700 15.6991
29800 14.4875
29900 13.5383
30000 12.8591
30100 12.3582
30200 11.9434
30300 11.5595
30400 11.1779
30500 10.783
30600 10.3623
30700 9.90362
30800 9.39727
30900 8.83963
31000 8.23302
31100 7.58819
31200 6.93646
31300 6.33203
31400 5.82365
31500 5.42047
31600 5.0979
31700 4.83155
31800 4.60821
31900 4.4183
32000 4.25409
32100 4.10877
32200 3.97386
32300 3.84065
32400 3.70307
32500 3.5562
32600 3.39159
32700 3.19483
32800 2.94728
32900 2.63527
33000 2.2673
33100 1.88128
33200 1.52727
33300 1.24202
33400 1.03298
33500 0.880824
33600 0.762429
33700 0.667805
33800 0.592486
33900 0.530558
34000 0.479572
34100 0.440848
34200 0.412823
34300 0.390391
34400 0.371508
34500 0.358734
34600 0.353762
34700 0.357237
34800 0.378979
34900 0.44453
35000 0.57712
35100 0.774845
35200 1.0148
35300 1.26768
35400 1.50825
35500 1.72467
35600 1.91943
35700 2.10099
35800 2.27611
35900 2.44927
36000 2.62621
36100 2.81506
36200 3.02533
36300 3.27043
36400 3.5752
36500 3.98344
36600 4.54834
36700 5.27162
36800 6.02376
36900 6.6187
37000 7.03043
37100 7.35467
37200 7.65598
37300 7.96316
37400 8.29266
37500 8.65704
37600 9.06886
37700 9.54414
37800 10.1035
37900 10.7693
38000 11.5611
38100 12.4857
38200 13.5265
38300 14.6394
38400 15.7632
38500 16.8348
38600 17.8019
38700 18.6285
38800 19.2972
38900 19.8071
39000 20.1729
39100 20.4204
39200 20.5768
39300 20.6636
39400 20.6941
39500 20.6751
39600 20.6082
39700 20.4898
39800 20.3067
39900 20.019
40000 19.5506
40100 18.8833
40200 18.2012
40300 17.8407
40400 18.0468
40500 18.7728
40600 19.7207
40700 20.6173
40800 21.3667
40900 21.98
41000 22.4929
41100 22.9375
41200 23.3428
41300 23.74
41400 24.1611
41500 24.6392
41600 25.2139
41700 25.936
41800 26.8602
41900 28.0157
42000 29.3715
42100 30.8301
42200 32.2687
42300 33.5929
42400 34.7623
42500 35.7772
42600 36.6517
42700 37.3995
42800 38.0326
42900 38.561
43000 38.9917
43100 39.3287
43200 39.5759
43300 39.7358
43400 39.8101
43500 39.8008
43600 39.7118
43700 39.5502
43800 39.3306
43900 39.0806
44000 38.8454
44100 38.6809
44200 38.6401
44300 38.7589
44400 39.0458
44500 39.4798
44600 40.0196
44700 40.6197
44800 41.2444
44900 41.8728
45000 42.5014
45100 43.1423
45200 43.8236
45300 44.5859
45400 45.4596
45500 46.4237
45600 47.3857
45700 48.2197
45800 48.8394
45900 49.2365
46000 49.4557
46100 49.5458
46200 49.5346
46300 49.4295
46400 49.2284
46500 48.9281
46600 48.5241
46700 48.0094
46800 47.3777
46900 46.6299
47000 45.7786
47100 44.8477
47200 43.8748
47300 42.9121
47400 42.0165
47500 41.2336
47600 40.5789
47700 40.0245
47800 39.5161
47900 39.0008
48000 38.4414
48100 37.817
48200 37.1186
48300 36.3506
48400 35.5357
48500 34.7121
48600 33.9264
48700 33.2195
48800 32.6165
48900 32.1263
49000 31.7464
49100 31.4643
49200 31.2607
49300 31.1134
49400 31.003
49500 30.9125
49600 30.8278
49700 30.7379
49800 30.6386
49900 30.5332
50000 30.4183
50100 30.2783
50200 30.0967
50300 29.8619
50400 29.5653
50500 29.2012
50600 28.7637
50700 28.2507
50800 27.6697
50900 27.0425
51000 26.4
51100 25.7748
51200 25.2037
51300 24.7322
51400 24.4183
51500 24.3283
51600 24.5049
51700 24.8841
51800 25.3499
51900 25.7984
52000 26.1869
52100 26.515
52200 26.7907
52300 27.0215
52400 27.2101
52500 27.359
52600 27.4698
52700 27.5435
52800 27.5799
52900 27.5813
53000 27.555
53100 27.5231
53200 27.5315
53300 27.6509
53400 27.9552
53500 28.4865
53600 29.2336
53700 30.1371
53800 31.1148
53900 32.0877
54000 32.9962
54100 33.8066
54200 34.5026
54300 35.0797
54400 35.54
54500 35.8889
54600 36.1339
54700 36.2829
54800 36.3412
54900 36.304
55000 36.1495
55100 35.845
55200 35.3758
55300 34.7647
55400 34.0637
55500 33.3321
55600 32.618
55700 31.9468
55800 31.3262
55900 30.7542
56000 30.2249
56100 29.7398
56200 29.3149
56300 28.9758
56400 28.7467
56500 28.6449
56600 28.6729
56700 28.8149
56800 29.0448
56900 29.3422
57000 29.7056
57100 30.1605
57200 30.7452
57300 31.4618
57400 32.245
57500 32.9967
57600 33.6737
57700 34.3083
57800 34.9083
57900 35.4823
58000 36.0251
58100 36.5197
58200 36.9477
58300 37.2923
58400 37.5397
58500 37.679
58600 37.7012
58700 37.5967
58800 37.3535
58900 36.9551
59000 36.3814
59100 35.6202
59200 34.7018
59300 33.7362
59400 32.8873
59500 32.2656
59600 31.8643
59700 31.615
59800 31.459
59900 31.3584
60000 31.2853
60100 31.2158
60200 31.1248
60300 30.9883
60400 30.7824
60500 30.4824
60600 30.0663
60700 29.5247
60800 28.8747
60900 28.1624
61000 27.447
61100 26.7887
61200 26.2484
61300 25.8975
61400 25.815
61500 26.0482
61600 26.5717
61700 27.2811
61800 28.0405
61900 28.742
62000 29.3228
62100 29.7566
62200 30.0398
62300 30.1823
62400 30.2039
62500 30.1305
62600 29.9888
62700 29.8001
62800 29.5749
62900 29.317
63000 29.0281
63100 28.7111
63200 28.3719
63300 28.0207
63400 27.6707
63500 27.332
63600 26.9972
63700 26.6217
63800 26.1706
63900 25.732
64000 25.427
64100 25.3021
64200 25.3584
64300 25.5954
64400 26.011
64500 26.5897
64600 27.3005
64700 28.1046
64800 28.9633
64900 29.8457
65000 30.7366
65100 31.6353
65200 32.5571
65300 33.5375
65400 34.6314
65500 35.8997
65600 37.3755
65700 39.0219
65800 40.7187
65900 42.3023
66000 43.6367
66100 44.6641
66200 45.4034
66300 45.9129
66400 46.2531
66500 46.4695
66600 46.5931
66700 46.6484
66800 46.6598
66900 46.655
67000 46.6647
67100 46.721
67200 46.8551
67300 47.0953
67400 47.4611
67500 47.9526
67600 48.5494
67700 49.2135
67800 49.8949
67900 50.5405
68000 51.0996
68100 51.5395
68200 51.8494
68300 52.0343
68400 52.1055
68500 52.0749
68600 51.9522
68700 51.7439
68800 51.451
68900 51.0635
69000 50.5511
69100 49.8656
69200 48.9971
69300 48.0473
69400 47.1896
69500 46.5607
69600 46.1965
69700 46.0448
69800 46.0162
69900 46.0253
70000 46.0109
70100 45.9345
70200 45.7712
70300 45.5026
70400 45.112
70500 44.5809
70600 43.8857
70700 42.9917
70800 41.8412
70900 40.3345
71000 38.3424
71100 35.8748
71200 33.3504
71300 31.4052
71400 30.2041
71500 29.4252
71600 28.8267
71700 28.3171
71800 27.8567
71900 27.4188
72000 26.9793
72100 26.5138
72200 25.9965
72300 25.3999
72400 24.6992
72500 23.8829
72600 22.9693
72700 22.017
72800 21.1172
72900 20.3604
73000 19.7988
73100 19.4318
73200 19.2238
73300 19.1351
73400 19.1376
73500 19.2153
73600 19.3613
73700 19.5769
73800 19.8702
73900 20.2542
74000 20.7428
74100 21.3436
74200 22.049
74300 22.8311
74400 23.649
74500 24.4649
74600 25.2505
74700 25.9857
74800 26.6565
74900 27.255
75000 27.7793
75100 28.2315
75200 28.6157
75300 28.9363
75400 29.1961
75500 29.3953
75600 29.5302
75700 29.5898
75800 29.5545
75900 29.4015
76000 29.1232
76100 28.7438
76200 28.3127
76300 27.8813
76400 27.4812
76500 27.1174
76600 26.7767
76700 26.4392
76800 26.0874
76900 25.7088
77000 25.298
77100 24.8576
77200 24.3982
77300 23.938
77400 23.5053
77500 23.138
77600 22.878
77700 22.7646
77800 22.8197
77900 23.0311
78000 23.3441
78100 23.6834
78200 23.9854
78300 24.2172
78400 24.3771
78500 24.4805
78600 24.5442
78700 24.5796
78800 24.5922
78900 24.5841
79000 24.5557
79100 24.5063
79200 24.436
79300 24.3466
79400 24.2423
79500 24.1285
79600 24.0114
79700 23.8943
79800 23.7776
79900 23.6582
80000 23.5309
80100 23.3909
80200 23.2365
80300 23.07
80400 22.8961
80500 22.7225
80600 22.5587
80700 22.4149
80800 22.2987
80900 22.2134
81000 22.1602
81100 22.1404
81200 22.1576
81300 22.2181
81400 22.333
81500 22.5204
81600 22.8109
81700 23.2565
81800 23.9373
81900 24.9405
82000 26.2977
82100 27.9408
82200 29.7321
82300 31.5255
82400 33.2088
82500 34.7176
82600 36.0318
82700 37.1592
82800 38.1204
82900 38.9403
83000 39.6456
83100 40.269
83200 40.8608
83300 41.5054
83400 42.3101
83500 43.3154
83600 44.4441
83700 45.5678
83800 46.579
83900 47.4723
84000 48.3397
84100 49.2469
84200 50.1404
84300 50.9559
84400 51.6906
84500 52.4188
84600 53.2172
84700 54.1402
84800 55.2103
84900 56.4094
85000 57.7164
85100 59.1392
85200 60.7042
85300 62.402
85400 64.1273
85500 65.6843
85600 66.8971
85700 67.7111
85800 68.1806
85900 68.3783
86000 68.3498
86100 68.1131
86200 67.6667
86300 66.9938
86400 66.0614
86500 64.8192
86600 63.202
86700 61.1578
86800 58.7225
86900 56.1405
87000 53.8851
87100 52.3994
87200 51.7105
87300 51.6149
87400 51.9615
87500 52.6854
87600 53.7492
87700 55.1006
87800 56.6645
87900 58.3392
88000 59.9956
88100 61.5328
88200 62.897
88300 64.0736
88400 65.0786
88500 65.9498
88600 66.7373
88700 67.4735
88800 68.1245
88900 68.5846
89000 68.758
89100 68.6389
89200 68.2829
89300 67.7255
89400 66.9629
89500 65.9725
89600 64.7315
89700 63.2257
89800 61.458
89900 59.4614
90000 57.315
90100 55.1485
90200 53.1237
90300 51.3866
90400 50.0113
