# Time-averaged data for fix msdoutZ
# TimeStep c_msdO[4]
100 58.0207
200 57.8041
300 57.4089
400 56.7765
500 55.8158
600 54.4511
700 52.7261
800 50.8377
900 49.0742
1000 47.7685
1100 47.2553
1200 47.74
1300 49.1176
1400 51.0424
1500 53.1236
1600 55.0534
1700 56.6528
1800 57.8677
1900 58.7279
2000 59.2933
2100 59.6198
2200 59.7465
2300 59.6953
2400 59.4733
2500 59.0676
2600 58.4208
2700 57.3829
2800 55.7386
2900 53.4575
3000 50.922
3100 48.7888
3200 47.5946
3300 47.428
3400 47.99
3500 48.9408
3600 50.0892
3700 51.3379
3800 52.6145
3900 53.8557
4000 55.0213
4100 56.0947
4200 57.0752
4300 57.9733
4400 58.8166
4500 59.6607
4600 60.5952
4700 61.7218
4800 63.0474
4900 64.4342
5000 65.7301
5100 66.8494
5200 67.7646
5300 68.4799
5400 69.0073
5500 69.3612
5600 69.5615
5700 69.6261
5800 69.5616
5900 69.3642
6000 69.0266
6100 68.5305
6200 67.8324
6300 66.8565
6400 65.5159
6500 63.781
6600 61.7812
6700 59.8159
6800 58.1879
6900 56.9971
7000 56.1623
7100 55.5907
7200 55.236
7300 55.0595
7400 55.0032
7500 54.9986
7600 54.9935
7700 54.968
7800 54.9448
7900 54.994
8000 55.2287
8100 55.771
8200 56.7109
8300 58.0799
8400 59.8415
8500 61.8656
8600 63.8918
8700 65.5991
8800 66.8119
8900 67.5828
9000 68.0452
9100 68.293
9200 68.3758
9300 68.3158
9400 68.1095
9500 67.7336
9600 67.1524
9700 66.3123
9800 65.1333
9900 63.5429
10000 61.5668
10100 59.401
10200 57.3714
10300 55.8124
10400 54.9382
10500 54.7596
10600 55.0637
10700 55.5734
10800 56.089
10900 56.5085
11000 56.7935
11100 56.9385
11200 56.9602
11300 56.8854
11400 56.7498
11500 56.5969
11600 56.4778
11700 56.4424
11800 56.5313
11900 56.7739
12000 57.1855
12100 57.7596
12200 58.455
12300 59.1853
12400 59.8328
12500 60.2935
12600 60.5256
12700 60.5573
12800 60.4429
12900 60.2159
13000 59.8822
13100 59.4384
13200 58.8849
13300 58.2276
13400 57.479
13500 56.6718
13600 55.8737
13700 55.1917
13800 54.7467
13900 54.6274
14000 54.8355
14100 55.2528
14200 55.6945
14300 56.0161
14400 56.1657
14500 56.1578
14600 56.0329
14700 55.8518
14800 55.6902
14900 55.6203
15000 55.6917
15100 55.9293
15200 56.3429
15300 56.9418
15400 57.7654
15500 58.8822
15600 60.2832
15700 61.774
15800 63.0726
15900 64.0264
16000 64.6656
16100 65.0808
16200 65.3316
16300 65.4436
16400 65.4291
16500 65.2935
16600 65.0288
16700 64.618
16800 64.0452
16900 63.2935
17000 62.3342
17100 61.1408
17200 59.7206
17300 58.1321
17400 56.4958
17500 54.9942
17600 53.7848
17700 52.9008
17800 52.3011
17900 51.9585
18000 51.858
18100 51.9677
18200 52.2275
18300 52.5683
18400 52.9395
18500 53.3161
18600 53.7006
18700 54.1406
18800 54.7473
18900 55.6515
19000 56.8957
19100 58.3752
19200 59.8739
19300 61.1268
19400 61.9461
19500 62.3888
19600 62.6071
19700 62.6773
19800 62.6189
19900 62.4289
20000 62.0926
20100 61.5786
20200 60.8308
20300 59.7682
20400 58.3091
20500 56.4214
20600 54.1827
20700 51.8007
20800 49.569
20900 47.7947
21000 46.7552
21100 46.6394
21200 47.4104
21300 48.809
21400 50.5251
21500 52.3203
21600 54.0412
21700 55.6001
21800 56.9405
21900 58.0083
22000 58.7588
22100 59.2069
22200 59.4235
22300 59.4728
22400 59.3886
22500 59.1822
22600 58.8491
22700 58.3706
22800 57.7107
22900 56.81
23000 55.5857
23100 53.9797
23200 52.0561
23300 50.0531
23400 48.3016
23500 47.1116
23600 46.7719
23700 47.5093
23800 49.248
23900 51.5541
24000 53.9236
24100 56.0299
24200 57.7482
24300 59.0818
24400 60.0858
24500 60.82
24600 61.331
24700 61.649
24800 61.7932
24900 61.7731
25000 61.5784
25100 61.1606
25200 60.4246
25300 59.2546
