# Time-averaged data for fix msdout
# TimeStep c_msdO[1]
100 0.216664
200 0.221876
300 0.239684
400 0.269329
500 0.31344
600 0.378631
700 0.46674
800 0.571675
900 0.694939
1000 0.842327
1100 1.01621
1200 1.20676
1300 1.36838
1400 1.45097
1500 1.45479
1600 1.44714
1700 1.47955
1800 1.56413
1900 1.70149
2000 1.90874
2100 2.15676
2200 2.4868
2300 2.85265
2400 3.17417
2500 3.38459
2600 3.49897
2700 3.53798
2800 3.45957
2900 3.23157
3000 2.90174
3100 2.5566
3200 2.27872
3300 2.07478
3400 1.94823
3500 1.9305
3600 2.04361
3700 2.33202
3800 2.78785
3900 3.25319
4000 3.52878
4100 3.65172
4200 3.69241
4300 3.59142
4400 3.33862
4500 3.0384
4600 2.76636
4700 2.56567
4800 2.41019
4900 2.32202
5000 2.32777
5100 2.40592
5200 2.53793
5300 2.72068
5400 2.94216
5500 3.12695
5600 3.25735
5700 3.34087
5800 3.38647
5900 3.32833
6000 3.11916
6100 2.80082
6200 2.4666
6300 2.2095
6400 2.07445
6500 2.05912
6600 2.06583
6700 2.0949
6800 2.14238
6900 2.1817
7000 2.16991
7100 2.10205
7200 1.97918
7300 1.81105
7400 1.59265
7500 1.33544
7600 1.05516
7700 0.796131
7800 0.617254
7900 0.531059
8000 0.503695
8100 0.512171
8200 0.550769
8300 0.62151
8400 0.722177
8500 0.843847
8600 0.975533
8700 1.10586
8800 1.21924
8900 1.29549
9000 1.30857
9100 1.22985
9200 1.05243
9300 0.814907
9400 0.584951
9500 0.413472
9600 0.314534
9700 0.278691
9800 0.305044
9900 0.398463
10000 0.567338
10100 0.794305
10200 1.03145
10300 1.22979
10400 1.36624
10500 1.44869
10600 1.47828
10700 1.44736
10800 1.36086
10900 1.21042
11000 1.02112
11100 0.84591
11200 0.727403
11300 0.654613
11400 0.60585
11500 0.569306
11600 0.547453
11700 0.548974
11800 0.582796
11900 0.650459
12000 0.748032
12100 0.87636
12200 1.03232
12300 1.19393
12400 1.31768
12500 1.34968
12600 1.24769
12700 1.02464
12800 0.769001
12900 0.571963
13000 0.447797
13100 0.375628
13200 0.357691
13300 0.399349
13400 0.480782
13500 0.570143
13600 0.639037
13700 0.684309
13800 0.72492
13900 0.798591
14000 0.91186
14100 1.02051
14200 1.08817
14300 1.10298
14400 1.0731
14500 1.01838
14600 0.950952
14700 0.869422
14800 0.777665
14900 0.690306
15000 0.623101
15100 0.583738
15200 0.572295
15300 0.588305
15400 0.635535
15500 0.726491
15600 0.876903
15700 1.07692
15800 1.27182
15900 1.39414
16000 1.4064
16100 1.32453
16200 1.19176
16300 1.04413
16400 0.896099
16500 0.771206
16600 0.688366
16700 0.660998
16800 0.662451
16900 0.65374
17000 0.62689
17100 0.606239
17200 0.620431
17300 0.674998
17400 0.744626
17500 0.80262
17600 0.841985
17700 0.865617
17800 0.875466
17900 0.87192
18000 0.853737
18100 0.819451
18200 0.771808
18300 0.719599
18400 0.673335
18500 0.63968
18600 0.621383
18700 0.622094
18800 0.648873
18900 0.707825
19000 0.793446
19100 0.887893
19200 0.970297
19300 1.02749
19400 1.05419
19500 1.05339
19600 1.0297
19700 0.989978
19800 0.930897
19900 0.858859
20000 0.801101
20100 0.776923
20200 0.744113
20300 0.669076
20400 0.564419
20500 0.49857
20600 0.530125
20700 0.631255
20800 0.734461
20900 0.814866
21000 0.885584
21100 0.94301
21200 0.970797
21300 0.963662
21400 0.922634
21500 0.854292
21600 0.773957
21700 0.698474
21800 0.636396
21900 0.588526
22000 0.557576
22100 0.557869
22200 0.609571
22300 0.714735
22400 0.844356
22500 0.967584
22600 1.0734
22700 1.16774
22800 1.24796
22900 1.30841
23000 1.33955
23100 1.36673
23200 1.38741
23300 1.38926
23400 1.34517
23500 1.247
23600 1.06637
23700 0.815321
23800 0.566722
23900 0.423592
24000 0.393702
24100 0.418363
24200 0.471246
24300 0.55818
24400 0.683707
24500 0.830627
24600 0.966063
24700 1.06177
24800 1.10612
24900 1.09976
25000 1.05367
25100 0.977858
25200 0.874257
25300 0.732606
25400 0.567586
25500 0.444865
25600 0.417018
25700 0.444043
25800 0.473032
25900 0.486605
26000 0.494391
26100 0.530258
26200 0.60092
26300 0.689125
26400 0.787485
26500 0.888209
26600 0.974168
26700 1.02188
26800 1.01752
26900 0.964853
27000 0.878214
27100 0.77755
27200 0.683638
27300 0.612059
27400 0.569089
27500 0.554929
27600 0.567618
27700 0.605961
27800 0.662884
27900 0.722057
28000 0.771399
28100 0.811707
28200 0.861675
28300 0.931453
28400 0.999816
28500 1.02859
28600 0.995223
28700 0.901456
28800 0.813676
28900 0.775133
29000 0.740853
29100 0.672308
29200 0.567981
29300 0.458257
29400 0.366889
29500 0.309723
29600 0.284199
29700 0.287681
29800 0.325834
29900 0.406246
30000 0.532973
30100 0.695544
30200 0.866552
30300 1.00614
30400 1.08696
30500 1.10561
30600 1.07281
30700 1.00095
30800 0.903433
30900 0.794628
31000 0.684407
31100 0.578576
31200 0.480828
31300 0.394738
31400 0.326036
31500 0.287708
31600 0.29595
31700 0.369518
31800 0.52481
31900 0.768857
32000 1.07165
32100 1.36408
32200 1.57744
32300 1.67435
32400 1.64472
32500 1.49811
32600 1.26165
32700 0.98598
32800 0.714209
32900 0.486812
33000 0.341078
33100 0.275785
33200 0.267407
33300 0.295076
33400 0.351266
33500 0.440347
33600 0.56828
33700 0.727129
33800 0.895377
33900 1.04433
34000 1.15171
34100 1.20781
34200 1.20892
34300 1.15075
34400 1.03895
34500 0.888985
34600 0.724091
34700 0.567888
34800 0.436678
34900 0.340365
35000 0.279319
35100 0.256122
35200 0.275821
35300 0.35253
35400 0.481664
35500 0.626245
35600 0.707305
35700 0.698722
35800 0.570938
35900 0.389607
36000 0.210546
36100 0.102863
36200 0.0600832
36300 0.05555
36400 0.0779619
36500 0.126178
36600 0.200083
36700 0.29159
36800 0.389652
36900 0.479139
37000 0.545985
37100 0.575616
37200 0.562188
37300 0.507296
37400 0.420952
