# Time-averaged data for fix msdoutX
# TimeStep c_msdO[2]
100 0.196974
200 0.195548
300 0.192919
400 0.188656
500 0.182048
600 0.172372
700 0.159544
800 0.144241
900 0.127362
1000 0.109796
1100 0.0925262
1200 0.0765774
1300 0.0628702
1400 0.0521285
1500 0.0447763
1600 0.0408498
1700 0.0403791
1800 0.0434683
1900 0.0504233
2000 0.0615632
2100 0.077488
2200 0.0990347
2300 0.127156
2400 0.162422
2500 0.204269
2600 0.250386
2700 0.297258
2800 0.341441
2900 0.380667
3000 0.414369
3100 0.443228
3200 0.468215
3300 0.490206
3400 0.510202
3500 0.529403
3600 0.54909
3700 0.570995
3800 0.598204
3900 0.635004
4000 0.683881
4100 0.742868
4200 0.807798
4300 0.874846
4400 0.940327
4500 1.00134
4600 1.05689
4700 1.10718
4800 1.1526
4900 1.19382
5000 1.23186
5100 1.26772
5200 1.3023
5300 1.33659
5400 1.37209
5500 1.41151
5600 1.46
5700 1.52586
5800 1.61728
5900 1.73391
6000 1.86169
6100 1.98008
6200 2.07706
6300 2.15344
6400 2.21523
6500 2.26788
6600 2.31546
6700 2.36098
6800 2.40629
6900 2.45274
7000 2.50199
7100 2.55616
7200 2.61746
7300 2.68842
7400 2.77215
7500 2.87147
7600 2.98745
7700 3.11747
7800 3.2519
7900 3.37264
8000 3.46433
8100 3.52899
8200 3.57741
8300 3.61764
8400 3.65393
8500 3.68855
8600 3.72343
8700 3.76082
8800 3.8033
8900 3.85413
9000 3.91773
9100 3.99866
9200 4.09849
9300 4.21391
9400 4.33886
9500 4.46683
9600 4.5918
9700 4.70965
9800 4.81875
9900 4.91927
10000 5.01243
10100 5.10005
10200 5.18407
10300 5.26639
10400 5.349
10500 5.43416
10600 5.5258
10700 5.63347
10800 5.77727
10900 5.97838
11000 6.2261
11100 6.47106
11200 6.66968
11300 6.81693
11400 6.93028
11500 7.0253
11600 7.11076
11700 7.19159
11800 7.2713
11900 7.35292
12000 7.43964
12100 7.53535
12200 7.64521
12300 7.7758
12400 7.93426
12500 8.12477
12600 8.34289
12700 8.57223
12800 8.78763
12900 8.96485
13000 9.09408
13100 9.18493
13200 9.25402
13300 9.31312
13400 9.36871
13500 9.4247
13600 9.4837
13700 9.54803
13800 9.62058
13900 9.70517
14000 9.80576
14100 9.92575
14200 10.0673
14300 10.2299
14400 10.4099
14500 10.6008
14600 10.7952
14700 10.9862
14800 11.1686
14900 11.34
15000 11.5
15100 11.6501
15200 11.7924
15300 11.929
15400 12.062
15500 12.1944
15600 12.3295
15700 12.4749
15800 12.647
15900 12.8681
16000 13.147
16100 13.4616
16200 13.7671
16300 14.0251
16400 14.2269
16500 14.3858
16600 14.5175
16700 14.6333
16800 14.7405
16900 14.8443
17000 14.9489
17100 15.0594
17200 15.1816
17300 15.3236
17400 15.4965
17500 15.7122
17600 15.976
17700 16.2765
17800 16.5858
17900 16.8734
18000 17.1195
18100 17.3201
18200 17.4837
18300 17.6234
18400 17.7509
18500 17.8748
18600 18.0005
18700 18.1315
18800 18.2704
18900 18.4203
19000 18.585
19100 18.7686
19200 18.9752
19300 19.2076
19400 19.4653
19500 19.7433
19600 20.0307
19700 20.3119
19800 20.5702
19900 20.7926
20000 20.9724
20100 21.112
20200 21.2208
20300 21.3097
20400 21.3868
20500 21.4581
20600 21.5278
20700 21.6003
20800 21.6803
20900 21.7753
21000 21.8985
21100 22.0703
21200 22.3043
21300 22.5863
21400 22.8891
21500 23.1929
21600 23.4847
21700 23.7563
21800 24.0036
21900 24.2267
22000 24.4284
22100 24.6128
22200 24.7842
22300 24.9476
22400 25.1076
22500 25.2693
22600 25.4393
22700 25.6276
22800 25.8486
22900 26.121
23000 26.4607
23100 26.8633
23200 27.2919
23300 27.6909
23400 28.0186
23500 28.2691
23600 28.4637
23700 28.6278
23800 28.7786
23900 28.9266
24000 29.0779
24100 29.2376
24200 29.4101
24300 29.6007
24400 29.8147
24500 30.0571
24600 30.331
24700 30.6364
24800 30.9679
24900 31.3133
25000 31.6568
25100 31.9817
25200 32.2705
25300 32.5058
25400 32.6788
25500 32.8
25600 32.8903
25700 32.9658
25800 33.0355
25900 33.1048
26000 33.1774
26100 33.2573
26200 33.3488
26300 33.4575
26400 33.5892
26500 33.7491
26600 33.9399
26700 34.1617
26800 34.4124
26900 34.6892
27000 34.9882
27100 35.3043
27200 35.6312
27300 35.9612
27400 36.2861
27500 36.599
27600 36.894
27700 37.1659
27800 37.41
27900 37.6229
28000 37.8023
28100 37.9491
28200 38.0679
28300 38.1661
28400 38.2502
28500 38.3256
28600 38.3964
28700 38.4669
28800 38.5418
28900 38.6289
29000 38.743
29100 38.9072
29200 39.1387
29300 39.4328
29400 39.7726
29500 40.1414
29600 40.5231
29700 40.9019
29800 41.2635
29900 41.598
30000 41.9011
30100 42.173
30200 42.4168
30300 42.6379
30400 42.8417
30500 43.0333
30600 43.2179
30700 43.402
30800 43.595
30900 43.8118
31000 44.0765
31100 44.4211
31200 44.8664
31300 45.3949
31400 45.9477
31500 46.4568
31600 46.8827
31700 47.2258
31800 47.5087
31900 47.7551
32000 47.9826
32100 48.2029
32200 48.4246
32300 48.6544
32400 48.8987
32500 49.1635
32600 49.454
32700 49.7749
32800 50.1282
32900 50.5114
33000 50.9172
33100 51.3342
33200 51.7484
