# Time-averaged data for fix msdoutX
# TimeStep c_msdO[2]
100 16.8162
200 16.7503
300 16.5919
400 16.2659
500 15.7193
600 14.9081
700 13.8623
800 12.7239
900 11.6689
1000 10.7847
1100 10.0572
1200 9.44049
1300 8.89163
1400 8.38561
1500 7.91992
1600 7.49295
1700 7.10417
1800 6.75528
1900 6.4462
2000 6.17278
2100 5.92797
2200 5.70424
2300 5.49317
2400 5.28586
2500 5.07153
2600 4.83848
2700 4.57615
2800 4.27696
2900 3.94069
3000 3.58332
3100 3.23654
3200 2.92954
3300 2.67324
3400 2.46274
3500 2.28725
3600 2.13565
3700 1.99846
3800 1.86869
3900 1.74138
4000 1.6125
4100 1.47853
4200 1.33728
4300 1.1887
4400 1.03392
4500 0.873473
4600 0.707484
4700 0.543062
4800 0.392763
4900 0.269316
5000 0.180138
5100 0.124123
5200 0.093646
5300 0.0783532
5400 0.0706676
5500 0.0664992
5600 0.0637805
5700 0.061504
5800 0.0596468
5900 0.0593123
6000 0.0627526
6100 0.0735405
6200 0.0967412
6300 0.138231
6400 0.202787
6500 0.291974
6600 0.402987
6700 0.526651
6800 0.647324
6900 0.754099
7000 0.845277
7100 0.919762
7200 0.977201
7300 1.02053
7400 1.0552
7500 1.08674
7600 1.1196
7700 1.15749
7800 1.20384
7900 1.26241
8000 1.33758
8100 1.4341
8200 1.5555
8300 1.70063
8400 1.85943
8500 2.01392
8600 2.14964
8700 2.26718
8800 2.37992
8900 2.49667
9000 2.61649
9100 2.72903
9200 2.82403
9300 2.89503
9400 2.94393
9500 2.97732
9600 3.00132
9700 3.02027
9800 3.03753
9900 3.05602
10000 3.07871
10100 3.10935
10200 3.15258
10300 3.21213
10400 3.28699
10500 3.3675
10600 3.42705
10700 3.43739
10800 3.39146
10900 3.30316
11000 3.19011
11100 3.0618
11200 2.92693
11300 2.79432
11400 2.67115
11500 2.56215
11600 2.47001
11700 2.39682
11800 2.34543
11900 2.31903
12000 2.31991
12100 2.34877
12200 2.40583
12300 2.49317
12400 2.61436
12500 2.76988
12600 2.94927
12700 3.1277
12800 3.27792
12900 3.36977
13000 3.37107
13100 3.27946
13200 3.11851
13300 2.92884
13400 2.73857
13500 2.55762
13600 2.39116
13700 2.24014
13800 2.10414
13900 1.98263
14000 1.87512
14100 1.78093
14200 1.69835
14300 1.62323
14400 1.5487
14500 1.46664
14600 1.36949
14700 1.25735
14800 1.1492
14900 1.0685
15000 1.017
15100 0.979424
15200 0.945775
15300 0.91507
15400 0.887794
15500 0.863223
15600 0.839764
15700 0.81601
15800 0.791331
15900 0.765658
16000 0.739421
16100 0.714433
16200 0.694812
16300 0.686649
16400 0.69561
16500 0.723854
16600 0.768198
16700 0.821873
16800 0.873379
16900 0.916151
17000 0.950105
17100 0.982112
17200 1.01446
17300 1.04865
17400 1.08507
17500 1.12344
17600 1.163
17700 1.2028
17800 1.24201
17900 1.28016
18000 1.31752
18100 1.35525
18200 1.39549
18300 1.44097
18400 1.49453
18500 1.55957
18600 1.64059
18700 1.74405
18800 1.8794
18900 2.05973
19000 2.29913
19100 2.60604
19200 2.97407
19300 3.3764
19400 3.76595
19500 4.09294
19600 4.34418
19700 4.53053
19800 4.66447
19900 4.75035
20000 4.79172
20100 4.78904
20200 4.74119
20300 4.64456
20400 4.49826
20500 4.30702
20600 4.08305
20700 3.84041
20800 3.58603
20900 3.31528
21000 3.01675
21100 2.68298
21200 2.33106
21300 2.01039
21400 1.76046
21500 1.58172
21600 1.45655
21700 1.36965
21800 1.31065
21900 1.27164
22000 1.2457
22100 1.22723
22200 1.21203
22300 1.19683
22400 1.17843
22500 1.15349
22600 1.11987
22700 1.07777
22800 1.03046
22900 0.982703
23000 0.937315
23100 0.891898
23200 0.837941
23300 0.765449
23400 0.681667
23500 0.602582
23600 0.541327
23700 0.502536
23800 0.483073
23900 0.478605
24000 0.484749
24100 0.497954
24200 0.515972
24300 0.537804
24400 0.563747
24500 0.595865
24600 0.638963
24700 0.702346
24800 0.803381
24900 0.973457
25000 1.25078
25100 1.64884
25200 2.12284
25300 2.58961
25400 2.98259
25500 3.27722
25600 3.48519
25700 3.63057
25800 3.72468
25900 3.77205
26000 3.78408
26100 3.76896
26200 3.73104
26300 3.6752
26400 3.60788
26500 3.53761
26600 3.47493
26700 3.43183
26800 3.41923
26900 3.44256
27000 3.50248
27100 3.61203
27200 3.8266
27300 4.17806
27400 4.61194
27500 5.05015
27600 5.41701
27700 5.68884
27800 5.87862
27900 6.00255
28000 6.07057
28100 6.08742
28200 6.0535
28300 5.9654
28400 5.81522
28500 5.5903
28600 5.27712
28700 4.87477
28800 4.41525
28900 3.97809
29000 3.65573
29100 3.49741
29200 3.48281
29300 3.54392
29400 3.61428
29500 3.66716
29600 3.70522
29700 3.7327
29800 3.75134
29900 3.76029
30000 3.7568
30100 3.73673
30200 3.69484
30300 3.62477
30400 3.51996
30500 3.37596
30600 3.19484
30700 2.98908
30800 2.78134
30900 2.59682
31000 2.45198
31100 2.35107
31200 2.28869
31300 2.25463
31400 2.23783
31500 2.22903
31600 2.21819
31700 2.19502
31800 2.16009
31900 2.11921
32000 2.06858
32100 1.9989
32200 1.90328
32300 1.77911
32400 1.62959
32500 1.46546
32600 1.29629
32700 1.13072
32800 0.972851
32900 0.82189
33000 0.677842
33100 0.54451
33200 0.432603
33300 0.356123
33400 0.320783
33500 0.317023
33600 0.327096
33700 0.337035
33800 0.340948
33900 0.337767
34000 0.327891
34100 0.311966
34200 0.290447
34300 0.26319
34400 0.229336
34500 0.187521
34600 0.137263
