# Time-averaged data for fix msdout
# TimeStep c_msdO[1]
100 12.5293
200 12.462
300 12.333
400 12.1256
500 11.815
600 11.3831
700 10.8518
800 10.2964
900 9.80028
1000 9.40249
1100 9.09757
1200 8.86857
1300 8.70437
1400 8.59936
1500 8.54972
1600 8.55167
1700 8.60134
1800 8.69549
1900 8.83189
2000 9.00984
2100 9.23063
2200 9.49797
2300 9.81742
2400 10.1949
2500 10.6347
2600 11.138
2700 11.7015
2800 12.3193
2900 12.9847
3000 13.6921
3100 14.4371
3200 15.2151
3300 16.0213
3400 16.8505
3500 17.6994
3600 18.5691
3700 19.4626
3800 20.3765
3900 21.2923
4000 22.1817
4100 23.017
4200 23.7759
4300 24.4436
4400 25.0113
4500 25.4743
4600 25.8292
4700 26.0717
4800 26.1932
4900 26.1797
5000 26.0164
5100 25.701
5200 25.252
5300 24.7026
5400 24.103
5500 23.5181
5600 22.9981
5700 22.5587
5800 22.1905
5900 21.8742
6000 21.5929
6100 21.3357
6200 21.0987
6300 20.8848
6400 20.7011
6500 20.5557
6600 20.4542
6700 20.3965
6800 20.381
6900 20.4033
7000 20.4577
7100 20.5389
7200 20.6405
7300 20.756
7400 20.8819
7500 21.0171
7600 21.1635
7700 21.3253
7800 21.5086
7900 21.7151
8000 21.9383
8100 22.164
8200 22.3781
8300 22.5716
8400 22.7406
8500 22.8809
8600 22.9856
8700 23.0465
8800 23.0564
8900 23.0069
9000 22.8916
9100 22.7265
9200 22.5447
9300 22.3617
9400 22.1778
9500 21.9843
9600 21.7675
9700 21.5203
9800 21.2467
9900 20.9614
10000 20.686
10100 20.4426
10200 20.2452
10300 20.0973
10400 19.9967
10500 19.9442
10600 19.9466
10700 20.0087
10800 20.1268
10900 20.2996
11000 20.5283
11100 20.8244
11200 21.2032
11300 21.6882
11400 22.3037
11500 23.0627
11600 23.9348
11700 24.8496
11800 25.7241
11900 26.4724
12000 27.0132
12100 27.3069
12200 27.3786
12300 27.2761
12400 27.03
12500 26.6537
12600 26.1544
12700 25.5365
12800 24.8014
12900 23.9519
13000 23.0021
13100 21.9844
13200 20.9495
13300 19.9621
13400 19.0936
13500 18.413
13600 17.9555
13700 17.7025
13800 17.61
13900 17.6428
14000 17.7828
14100 18.0221
14200 18.359
14300 18.7933
14400 19.3257
14500 19.9671
