# Time-averaged data for fix msdoutZ
# TimeStep c_msdO[4]
100 28.4308
200 28.3063
300 28.0779
400 27.7099
500 27.1474
600 26.3461
700 25.3346
800 24.2308
900 23.1788
1000 22.285
1100 21.6007
1200 21.1352
1300 20.8757
1400 20.8049
1500 20.9031
1600 21.1398
1700 21.4677
1800 21.8523
1900 22.3023
2000 22.8053
2100 23.3298
2200 23.8234
2300 24.2782
2400 24.6937
2500 25.073
2600 25.4204
2700 25.7445
2800 26.0632
2900 26.4002
3000 26.7743
3100 27.1953
3200 27.6614
3300 28.1496
3400 28.6231
3500 29.056
3600 29.4484
3700 29.8172
3800 30.1808
3900 30.5526
4000 30.9395
4100 31.3412
4200 31.752
4300 32.1643
4400 32.5798
4500 33.0111
4600 33.4805
4700 34.026
4800 34.7269
4900 35.7146
5000 37.064
5100 38.5755
5200 39.848
5300 40.6843
5400 41.184
5500 41.4734
5600 41.6062
5700 41.5998
5800 41.4521
5900 41.1523
6000 40.695
6100 40.0855
6200 39.3439
6300 38.5231
6400 37.7208
6500 37.0425
6600 36.5499
6700 36.2503
6800 36.1286
6900 36.1892
7000 36.4281
7100 36.8237
7200 37.3454
7300 37.9456
7400 38.5768
7500 39.2222
7600 39.8914
7700 40.6358
7800 41.5385
7900 42.6119
8000 43.6813
8100 44.5312
8200 45.0791
8300 45.3566
8400 45.4284
8500 45.338
8600 45.0983
8700 44.7137
8800 44.1926
8900 43.5402
9000 42.7581
9100 41.8579
9200 40.8722
9300 39.8558
9400 38.8808
9500 38.0256
9600 37.3941
9700 37.0228
9800 36.8842
9900 36.9168
10000 37.0524
10100 37.2157
10200 37.3646
10300 37.5042
10400 37.6435
10500 37.8009
10600 38.0136
10700 38.3473
10800 38.836
10900 39.4164
11000 39.9804
11100 40.44
11200 40.7508
11300 40.9045
11400 40.9103
11500 40.7789
11600 40.5179
11700 40.1313
11800 39.6228
11900 38.9991
12000 38.2746
12100 37.4796
12200 36.6662
12300 35.8972
12400 35.2269
12500 34.6884
12600 34.3168
12700 34.1716
12800 34.3236
12900 34.8011
13000 35.5177
13100 36.282
13200 36.929
13300 37.4119
13400 37.7518
13500 37.9737
13600 38.0895
13700 38.1009
13800 38.0019
13900 37.7809
14000 37.421
14100 36.9042
14200 36.2218
14300 35.3996
14400 34.5156
14500 33.6771
14600 32.9682
14700 32.4296
14800 32.0835
14900 31.9494
15000 32.035
15100 32.3111
15200 32.7121
15300 33.1671
15400 33.6225
15500 34.0461
15600 34.4231
15700 34.7467
15800 35.0108
15900 35.2123
16000 35.3545
16100 35.4418
16200 35.4671
16300 35.4165
16400 35.3024
16500 35.144
16600 34.9422
16700 34.6935
16800 34.4001
16900 34.0611
17000 33.6693
17100 33.2177
17200 32.7034
17300 32.1219
17400 31.4648
17500 30.7256
17600 29.9049
17700 29.0089
17800 28.0508
17900 27.0528
18000 26.0465
18100 25.0737
18200 24.2013
18300 23.5157
18400 23.0792
18500 22.8725
18600 22.7973
18700 22.7606
18800 22.7169
18900 22.6439
19000 22.5231
19100 22.3416
19200 22.0946
19300 21.7766
19400 21.3755
19500 20.8792
19600 20.2839
19700 19.5919
19800 18.816
19900 17.9932
20000 17.1925
20100 16.4953
20200 15.9524
20300 15.557
20400 15.2671
20500 15.0457
20600 14.8761
20700 14.7858
20800 14.7561
20900 14.7721
21000 14.8405
21100 14.9889
21200 15.2785
21300 15.7626
21400 16.4843
21500 17.4511
21600 18.5905
21700 19.7737
21800 20.8211
21900 21.5662
22000 22.0101
22100 22.271
22200 22.4267
22300 22.5089
22400 22.5338
22500 22.5152
22600 22.4708
22700 22.4284
22800 22.4301
22900 22.529
23000 22.7798
23100 23.2266
23200 23.9012
23300 24.8201
23400 25.969
23500 27.2763
23600 28.602
23700 29.7801
23800 30.7132
23900 31.4122
24000 31.9376
24100 32.3373
24200 32.6356
24300 32.8453
24400 32.9759
24500 33.0328
24600 33.0151
24700 32.9209
24800 32.7575
24900 32.5481
25000 32.3361
25100 32.175
25200 32.1186
25300 32.2087
25400 32.4615
25500 32.8684
25600 33.4017
25700 34.0113
25800 34.6324
25900 35.2151
26000 35.7347
26100 36.175
26200 36.5203
26300 36.7653
26400 36.9181
26500 36.9863
26600 36.9689
26700 36.8658
26800 36.6853
26900 36.4408
27000 36.1596
27100 35.9255
27200 35.9295
27300 36.3356
27400 37.182
27500 38.3858
27600 39.7513
27700 41.0053
27800 42.0062
27900 42.7512
28000 43.2921
28100 43.6744
28200 43.9196
28300 44.0406
28400 44.0478
28500 43.9378
28600 43.681
28700 43.2265
28800 42.5514
28900 41.7984
29000 41.2758
29100 41.2655
29200 41.9004
29300 43.1217
29400 44.6585
29500 46.139
29600 47.389
29700 48.3724
29800 49.1037
29900 49.6159
30000 49.9409
30100 50.0943
30200 50.0735
30300 49.8649
30400 49.4414
30500 48.7509
30600 47.7462
30700 46.5095
30800 45.3989
30900 44.8036
31000 44.8396
31100 45.3641
31200 46.1601
31300 47.0637
31400 48.0265
31500 49.0208
31600 50.0098
31700 50.9553
31800 51.8272
31900 52.6084
32000 53.2923
32100 53.8753
32200 54.3524
32300 54.7153
32400 54.9513
32500 55.0466
32600 54.9966
32700 54.8145
32800 54.5312
32900 54.187
33000 53.8191
33100 53.4523
33200 53.0976
33300 52.7552
33400 52.4279
33500 52.127
33600 51.8761
33700 51.7074
33800 51.6587
33900 51.7732
34000 52.0946
34100 52.6557
34200 53.4632
34300 54.4991
34400 55.7227
34500 57.0672
34600 58.4457
34700 59.775
34800 60.9942
34900 62.0539
35000 62.9113
35100 63.5483
35200 63.9724
35300 64.1896
35400 64.206
35500 64.055
35600 63.7868
35700 63.4346
35800 63.0144
35900 62.547
36000 62.0581
36100 61.5627
36200 61.0819
36300 60.7461
36400 60.6903
36500 61.0174
36600 61.7477
36700 62.7773
36800 63.9238
36900 65.0249
37000 65.9293
37100 66.5666
37200 66.9356
37300 67.0536
37400 66.9386
37500 66.6128
37600 66.0949
37700 65.3901
37800 64.4971
37900 63.4203
38000 62.1657
38100 60.7186
38200 59.0427
38300 57.1442
38400 55.1628
38500 53.3952
38600 52.0841
38700 51.3341
38800 51.0536
38900 51.1284
39000 51.4914
39100 52.082
39200 52.8237
39300 53.6221
39400 54.3922
39500 55.0797
39600 55.6618
39700 56.1353
39800 56.5069
39900 56.7867
40000 56.9845
40100 57.1048
40200 57.1469
40300 57.1154
40400 57.0134
40500 56.8188
40600 56.503
40700 56.0588
40800 55.4825
40900 54.7507
41000 53.8339
41100 52.7243
41200 51.4366
41300 49.9988
41400 48.4637
41500 46.9627
41600 45.7663
41700 45.0455
41800 44.7768
41900 44.7851
42000 44.876
42100 44.9811
42200 45.1017
42300 45.2503
42400 45.4339
42500 45.6421
42600 45.857
42700 46.0643
42800 46.25
42900 46.387
43000 46.4401
43100 46.3724
43200 46.1413
43300 45.7049
43400 45.0497
43500 44.2083
43600 43.2477
43700 42.2461
43800 41.2692
43900 40.3527
44000 39.5034
44100 38.7079
44200 37.9471
44300 37.2071
44400 36.4777
44500 35.7496
44600 35.014
44700 34.2673
44800 33.5157
44900 32.7758
45000 32.0748
45100 31.469
45200 31.0285
45300 30.7759
45400 30.686
45500 30.7008
45600 30.7556
45700 30.8122
45800 30.8407
45900 30.8254
46000 30.7594
46100 30.6315
46200 30.4263
46300 30.1295
46400 29.7197
46500 29.1634
46600 28.4697
46700 27.7666
46800 27.2332
46900 26.9449
47000 26.864
47100 26.9255
47200 27.0739
47300 27.2611
47400 27.4505
47500 27.624
47600 27.772
47700 27.8878
47800 27.9793
47900 28.0798
48000 28.2353
48100 28.4876
48200 28.8681
48300 29.3917
48400 30.0399
48500 30.7659
48600 31.5202
48700 32.2681
48800 32.9785
48900 33.6205
49000 34.1855
49100 34.6957
49200 35.1833
49300 35.6766
49400 36.2021
49500 36.7922
49600 37.484
49700 38.3183
49800 39.3366
49900 40.5604
50000 41.949
50100 43.3966
50200 44.799
50300 46.1052
50400 47.3018
50500 48.3931
50600 49.3956
50700 50.3321
50800 51.2171
50900 52.0535
51000 52.8357
51100 53.561
51200 54.2271
51300 54.8377
51400 55.4232
51500 56.0395
51600 56.7036
51700 57.3323
51800 57.7937
51900 58.0433
52000 58.1331
52100 58.1691
52200 58.2799
52300 58.519
52400 58.8878
52500 59.3413
52600 59.7688
52700 60.1931
52800 60.7584
52900 61.5636
53000 62.6635
53100 64.0151
53200 65.4686
53300 66.9222
53400 68.2542
53500 69.361
53600 70.184
53700 70.7047
53800 70.9316
53900 70.8884
54000 70.6089
54100 70.1443
54200 69.562
54300 68.9048
54400 68.1618
54500 67.2917
54600 66.2507
54700 65.0031
54800 63.5245
54900 61.8111
55000 59.9
55100 57.8929
55200 55.9635
55300 54.3352
55400 53.2259
55500 52.7786
55600 53.0039
55700 53.788
55800 54.9368
55900 56.2372
56000 57.5138
56100 58.6584
56200 59.6203
56300 60.3857
56400 60.9583
56500 61.3456
56600 61.5499
56700 61.5566
56800 61.3175
56900 60.7546
57000 59.8229
57100 58.5762
57200 57.1546
57300 55.8118
57400 54.8388
57500 54.3853
57600 54.4831
57700 54.9638
57800 55.6937
