# Time-averaged data for fix msdoutY
# TimeStep c_msdO[3]
100 15.1416
200 15.1841
300 15.2234
400 15.2569
500 15.2884
600 15.3232
700 15.3823
800 15.5238
900 15.7744
1000 16.1372
1100 16.5838
1200 17.0449
1300 17.4614
1400 17.7995
1500 18.0383
1600 18.1732
1700 18.2106
1800 18.1588
1900 18.0266
2000 17.8234
2100 17.5591
2200 17.2437
2300 16.8905
2400 16.5188
2500 16.153
2600 15.8176
2700 15.532
2800 15.3062
2900 15.1414
3000 15.0316
3100 14.9665
3200 14.935
3300 14.9252
3400 14.9218
3500 14.9066
3600 14.8618
3700 14.7686
3800 14.6038
3900 14.3489
4000 14.0077
4100 13.6098
4200 13.1961
4300 12.8031
4400 12.4504
4500 12.1342
4600 11.8374
4700 11.544
4800 11.2468
4900 10.9461
5000 10.6454
5100 10.3509
5200 10.0736
5300 9.82528
5400 9.6133
5500 9.44233
5600 9.3204
5700 9.25606
5800 9.24824
5900 9.28614
6000 9.35686
6100 9.44372
6200 9.52857
6300 9.59878
6400 9.6516
6500 9.69011
6600 9.72233
6700 9.76256
6800 9.83107
6900 9.94892
7000 10.1319
7100 10.387
7200 10.7143
7300 11.112
7400 11.5791
7500 12.1142
7600 12.7048
7700 13.3232
7800 13.9341
7900 14.5013
8000 14.9896
8100 15.3683
8200 15.617
8300 15.7381
8400 15.7595
8500 15.7162
8600 15.6359
8700 15.5411
8800 15.4504
8900 15.3768
9000 15.33
9100 15.3149
9200 15.3313
9300 15.3711
9400 15.4139
9500 15.4262
9600 15.39
9700 15.3245
9800 15.2636
9900 15.2268
10000 15.2175
10100 15.2323
10200 15.2682
10300 15.3251
10400 15.4042
10500 15.5049
10600 15.6217
10700 15.7376
10800 15.8297
10900 15.8761
11000 15.8618
11100 15.7842
11200 15.6521
11300 15.4829
11400 15.2981
11500 15.1183
11600 14.9592
11700 14.828
11800 14.7271
11900 14.6577
12000 14.6225
12100 14.6224
12200 14.6502
12300 14.6889
12400 14.7166
12500 14.7139
12600 14.6671
12700 14.5617
12800 14.3843
12900 14.1241
13000 13.7759
13100 13.3522
13200 12.9028
13300 12.5117
13400 12.247
13500 12.1315
13600 12.1553
13700 12.2981
13800 12.5428
13900 12.8678
14000 13.2432
14100 13.6359
14200 14.0241
14300 14.3972
14400 14.7491
14500 15.0717
14600 15.3526
14700 15.5787
14800 15.7535
14900 15.9143
15000 16.1062
15100 16.3137
15200 16.4706
15300 16.6244
15400 16.9853
15500 17.5397
15600 18.2505
15700 19.2774
15800 20.484
15900 21.5238
16000 22.2516
16100 22.717
16200 22.9911
16300 23.0987
16400 23.02
16500 22.7172
16600 22.1603
16700 21.3556
16800 20.3736
16900 19.3491
17000 18.4166
17100 17.6267
17200 16.9601
17300 16.3907
17400 15.9073
17500 15.5033
17600 15.1645
17700 14.876
17800 14.623
17900 14.389
18000 14.1545
18100 13.8989
18200 13.6005
18300 13.2413
18400 12.8155
18500 12.3362
18600 11.8359
18700 11.3528
18800 10.9165
18900 10.5553
19000 10.3119
19100 10.2364
19200 10.3506
19300 10.6497
19400 11.1359
19500 11.8062
19600 12.607
19700 13.4346
19800 14.19
19900 14.8155
20000 15.2931
20100 15.6288
20200 15.8402
20300 15.9477
20400 15.9724
20500 15.9365
20600 15.866
20700 15.7918
20800 15.7458
20900 15.7498
21000 15.8064
21100 15.9014
21200 16.021
21300 16.1578
21400 16.3033
21500 16.4361
21600 16.5236
21700 16.5363
21800 16.4539
21900 16.2542
22000 15.9128
22100 15.4272
22200 14.8353
22300 14.1948
22400 13.555
22500 12.9486
22600 12.3913
22700 11.8856
22800 11.4258
22900 11.0055
23000 10.6231
23100 10.2855
23200 10.0109
23300 9.82514
23400 9.74935
23500 9.78854
23600 9.93336
23700 10.1698
23800 10.483
23900 10.8563
24000 11.2698
24100 11.7012
24200 12.1315
24300 12.5464
24400 12.9348
24500 13.2895
24600 13.6052
24700 13.8796
24800 14.1146
24900 14.3195
25000 14.509
25100 14.7
25200 14.908
25300 15.145
25400 15.4196
25500 15.7379
25600 16.1041
25700 16.5217
25800 16.9895
25900 17.4979
26000 18.0196
26100 18.5152
26200 18.9453
26300 19.2787
26400 19.4978
26500 19.6029
26600 19.6145
26700 19.5672
26800 19.5048
26900 19.4681
27000 19.4795
27100 19.5341
27200 19.6006
27300 19.6372
27400 19.6095
27500 19.5037
27600 19.3257
27700 19.083
27800 18.7789
