# Time-averaged data for fix msdoutX
# TimeStep c_msdO[2]
100 20.5131
200 20.3216
300 19.9649
400 19.3894
500 18.5148
600 17.2809
700 15.7482
800 14.1297
900 12.6708
1000 11.517
1100 10.6976
1200 10.1818
1300 9.92288
1400 9.87026
1500 9.97282
1600 10.1824
1700 10.4521
1800 10.734
1900 10.9847
2000 11.1731
2100 11.2827
2200 11.3058
2300 11.2393
2400 11.0796
2500 10.8146
2600 10.4155
2700 9.83419
2800 9.0333
2900 8.05236
3000 7.03627
3100 6.14741
3200 5.45811
3300 4.94716
3400 4.55668
3500 4.23507
3600 3.95037
3700 3.68514
3800 3.42781
3900 3.1717
4000 2.91742
4100 2.66889
4200 2.42647
4300 2.18652
4400 1.94263
4500 1.684
4600 1.39233
4700 1.05255
4800 0.695821
4900 0.412094
5000 0.254166
5100 0.189058
5200 0.167538
5300 0.166282
5400 0.176876
5500 0.194499
5600 0.218145
5700 0.249857
5800 0.289378
5900 0.333006
6000 0.378212
6100 0.424008
6200 0.466283
6300 0.500331
6400 0.527818
6500 0.554869
6600 0.588396
6700 0.634854
6800 0.697388
6900 0.77574
7000 0.863395
7100 0.957166
7200 1.05885
7300 1.17877
7400 1.33481
7500 1.54117
7600 1.7909
7700 2.05737
7800 2.30722
7900 2.51626
8000 2.68291
8100 2.81843
8200 2.92878
8300 3.0144
8400 3.07965
8500 3.13131
8600 3.17057
8700 3.19567
8800 3.21044
8900 3.22323
9000 3.2437
9100 3.2849
9200 3.35313
9300 3.43734
9400 3.51712
9500 3.5723
9600 3.59299
9700 3.58018
9800 3.5326
9900 3.44716
10000 3.33268
10100 3.20448
10200 3.07043
10300 2.93419
10400 2.80212
10500 2.67981
10600 2.56723
10700 2.46476
10800 2.37404
10900 2.28959
11000 2.19569
11100 2.07068
11200 1.8998
11300 1.6833
11400 1.44266
11500 1.21243
11600 1.01942
11700 0.86957
11800 0.753648
11900 0.658917
12000 0.575634
12100 0.498428
12200 0.42542
12300 0.356678
12400 0.292706
12500 0.234418
12600 0.183376
12700 0.142521
12800 0.116507
12900 0.110153
13000 0.122533
13100 0.141499
13200 0.154629
13300 0.16073
13400 0.163262
13500 0.164642
13600 0.167088
13700 0.171732
13800 0.177119
13900 0.180809
14000 0.182138
14100 0.181742
14200 0.179287
14300 0.173812
14400 0.165747
14500 0.157383
14600 0.152413
14700 0.156239
14800 0.171677
14900 0.196669
15000 0.226081
15100 0.254033
15200 0.2789
15300 0.301274
15400 0.322133
15500 0.34234
15600 0.362828
15700 0.38473
15800 0.409454
15900 0.438872
16000 0.476105
16100 0.526012
16200 0.591416
16300 0.666475
16400 0.739102
16500 0.810347
16600 0.892852
16700 0.990259
16800 1.08957
16900 1.18661
17000 1.28464
17100 1.38524
17200 1.49067
17300 1.60329
17400 1.72441
17500 1.85662
17600 2.00591
17700 2.1803
17800 2.3886
17900 2.63849
18000 2.93218
18100 3.25814
18200 3.58754
18300 3.88226
18400 4.11306
18500 4.27405
18600 4.37841
18700 4.44469
18800 4.48955
18900 4.52757
19000 4.57244
19100 4.63764
19200 4.73579
19300 4.87693
19400 5.06453
19500 5.29658
19600 5.57307
19700 5.89534
19800 6.25708
19900 6.6403
20000 7.02236
20100 7.37913
20200 7.6859
20300 7.92714
20400 8.10122
20500 8.21051
20600 8.25635
20700 8.24234
20800 8.17369
20900 8.05404
21000 7.8877
21100 7.68365
21200 7.45754
21300 7.22961
21400 7.01188
21500 6.80487
21600 6.61152
21700 6.4403
21800 6.30177
21900 6.20824
22000 6.16983
22100 6.19077
22200 6.26884
22300 6.39796
22400 6.57128
22500 6.7824
22600 7.02472
22700 7.28722
22800 7.54856
22900 7.77543
23000 7.93501
23100 8.02307
23200 8.06226
23300 8.0709
23400 8.05571
23500 8.01822
23600 7.95566
23700 7.86297
23800 7.73443
23900 7.56348
24000 7.34612
24100 7.08295
24200 6.77606
24300 6.43395
24400 6.07962
24500 5.73834
24600 5.4189
24700 5.11821
24800 4.83573
24900 4.57475
25000 4.34002
25100 4.13441
25200 3.95035
25300 3.76033
25400 3.55155
25500 3.38807
25600 3.31066
25700 3.27457
25800 3.23951
25900 3.19058
26000 3.1272
26100 3.04937
26200 2.95171
26300 2.83082
26400 2.68818
26500 2.52141
26600 2.32267
26700 2.09075
26800 1.83726
26900 1.58051
27000 1.34288
27100 1.14513
27200 0.99429
27300 0.884042
27400 0.803725
27500 0.743482
27600 0.696218
27700 0.657589
27800 0.624749
27900 0.595959
28000 0.570488
28100 0.547687
28200 0.526435
28300 0.505965
28400 0.486059
28500 0.465613
28600 0.441906
28700 0.412331
28800 0.377139
28900 0.33884
29000 0.299429
29100 0.264462
29200 0.244201
29300 0.242223
29400 0.25292
29500 0.272096
29600 0.298152
29700 0.327935
29800 0.358814
29900 0.391948
30000 0.430133
30100 0.474805
30200 0.527426
30300 0.591924
30400 0.675541
30500 0.791584
30600 0.9691
30700 1.26373
30800 1.7262
30900 2.29366
31000 2.80018
31100 3.1669
31200 3.42819
31300 3.627
31400 3.77681
31500 3.88516
31600 3.96058
31700 4.0058
31800 4.02168
31900 4.01318
32000 3.98636
32100 3.94537
32200 3.89535
32300 3.84792
32400 3.82324
32500 3.82301
32600 3.82707
32700 3.81965
32800 3.81907
32900 3.83301
33000 3.85844
33100 3.8849
33200 3.90019
33300 3.89991
33400 3.87653
33500 3.82527
33600 3.74411
33700 3.63404
33800 3.49485
33900 3.3309
34000 3.14545
34100 2.93319
34200 2.68687
34300 2.40857
34400 2.11016
34500 1.80336
34600 1.50338
34700 1.22877
34800 0.99402
34900 0.807471
35000 0.672624
35100 0.580754
35200 0.517073
35300 0.469113
35400 0.429122
35500 0.392388
35600 0.356572
35700 0.320464
35800 0.284711
35900 0.25044
36000 0.219048
36100 0.192251
36200 0.172643
36300 0.166412
36400 0.181001
36500 0.216079
36600 0.264143
36700 0.321572
36800 0.386726
36900 0.454561
37000 0.521002
37100 0.587602
37200 0.655794
37300 0.722858
37400 0.786865
37500 0.849455
37600 0.911421
37700 0.970721
37800 1.02602
37900 1.07861
38000 1.1301
38100 1.18168
38200 1.23643
38300 1.30102
38400 1.38491
38500 1.49961
38600 1.6576
38700 1.8676
38800 2.12694
38900 2.42099
39000 2.72855
39100 3.02889
39200 3.30757
39300 3.55686
39400 3.77378
39500 3.95921
39600 4.11561
39700 4.2445
39800 4.3476
39900 4.42896
40000 4.49279
40100 4.54021
40200 4.57043
40300 4.5843
40400 4.58317
40500 4.56428
40600 4.52507
40700 4.47377
40800 4.42946
40900 4.41639
41000 4.459
41100 4.57449
41200 4.76689
41300 5.02595
41400 5.33033
41500 5.65527
41600 5.98106
41700 6.29522
41800 6.5936
41900 6.88187
42000 7.17669
42100 7.50878
42200 7.91745
42300 8.4059
42400 8.90549
42500 9.33746
42600 9.6742
42700 9.92281
42800 10.0945
42900 10.1979
43000 10.2388
43100 10.22
43200 10.1415
43300 10.0011
43400 9.79392
43500 9.51408
43600 9.15629
43700 8.7197
43800 8.21852
43900 7.69598
44000 7.21708
44100 6.82812
44200 6.53097
44300 6.30471
44400 6.1279
44500 5.98175
44600 5.84943
44700 5.71791
44800 5.57966
44900 5.43324
45000 5.27982
45100 5.11737
45200 4.93671
45300 4.72175
45400 4.45527
45500 4.13463
45600 3.78551
45700 3.45451
45800 3.18372
45900 2.98772
46000 2.84597
46100 2.72758
46200 2.61305
46300 2.49348
46400 2.36409
46500 2.22052
46600 2.05926
46700 1.87972
46800 1.68561
46900 1.50722
47000 1.38553
47100 1.32256
47200 1.26008
47300 1.15296
47400 1.03065
47500 0.932529
47600 0.86573
47700 0.826592
47800 0.81391
47900 0.826238
48000 0.861375
48100 0.909037
48200 0.961818
48300 1.01565
48400 1.06351
48500 1.09552
48600 1.10874
48700 1.11822
48800 1.14275
48900 1.1893
49000 1.25307
49100 1.32701
49200 1.40863
49300 1.49341
49400 1.57365
49500 1.63951
49600 1.68655
49700 1.71729
49800 1.7358
49900 1.74492
50000 1.74628
50100 1.74078
50200 1.72905
50300 1.71191
50400 1.69009
50500 1.66395
50600 1.63338
50700 1.59824
50800 1.55954
50900 1.51522
51000 1.50739
51100 1.67006
51200 1.89522
51300 2.11141
51400 2.2636
51500 2.35476
51600 2.4127
51700 2.45044
51800 2.47242
51900 2.48172
52000 2.47901
52100 2.46142
52200 2.42563
52300 2.37047
52400 2.2949
52500 2.19638
52600 2.07479
52700 1.9374
52800 1.79394
52900 1.65137
53000 1.51766
53100 1.40399
53200 1.31893
53300 1.26065
53400 1.21899
53500 1.18739
53600 1.16288
53700 1.14194
53800 1.12148
53900 1.09957
54000 1.0745
54100 1.04447
54200 1.00837
54300 0.965794
54400 0.916296
54500 0.859696
54600 0.797041
54700 0.730324
54800 0.668544
54900 0.623854
55000 0.606679
55100 0.623716
55200 0.663219
55300 0.711068
55400 0.756041
55500 0.79138
55600 0.814541
55700 0.827401
55800 0.833952
55900 0.837213
56000 0.837973
56100 0.835294
56200 0.828945
56300 0.820383
56400 0.810837
56500 0.800509
56600 0.791612
56700 0.796194
56800 0.82472
56900 0.877881
57000 0.957458
57100 1.0672
57200 1.19797
57300 1.33335
57400 1.45648
57500 1.55817
57600 1.63691
57700 1.69552
57800 1.73869
57900 1.77075
58000 1.79366
58100 1.80762
58200 1.81315
58300 1.81165
58400 1.80428
58500 1.79361
58600 1.78866
58700 1.81347
58800 1.90511
58900 2.08562
59000 2.3594
59100 2.70526
59200 3.06372
59300 3.34842
59400 3.53366
59500 3.6498
59600 3.72217
59700 3.76173
59800 3.7727
59900 3.75589
60000 3.7091
60100 3.62737
60200 3.50481
60300 3.34027
60400 3.14755
60500 2.96072
60600 2.8256
60700 2.78192
60800 2.83816
60900 2.98064
61000 3.18872
61100 3.43947
61200 3.6863
61300 3.87702
61400 3.99347
61500 4.05508
61600 4.08147
61700 4.08003
61800 4.05179
61900 3.9952
62000 3.907
62100 3.78277
62200 3.61918
62300 3.41902
62400 3.19778
62500 2.98434
62600 2.81118
62700 2.72844
62800 2.78538
62900 2.96767
63000 3.2038
63100 3.43497
63200 3.62314
63300 3.74992
63400 3.82384
63500 3.86097
63600 3.8707
63700 3.85651
63800 3.81939
63900 3.75932
64000 3.67515
64100 3.56569
64200 3.43348
64300 3.28969
64400 3.15334
64500 3.05118
64600 3.01792
64700 3.08047
64800 3.22722
64900 3.40525
65000 3.57023
65100 3.70689
65200 3.81099
65300 3.883
65400 3.92549
65500 3.94076
65600 3.92954
65700 3.89152
65800 3.82602
65900 3.73216
66000 3.61072
66100 3.46828
66200 3.31767
66300 3.16945
66400 3.02213
66500 2.86777
66600 2.70793
66700 2.55214
66800 2.40721
66900 2.28034
67000 2.18269
67100 2.12139
67200 2.09244
67300 2.08085
67400 2.06902
67500 2.04541
67600 2.00553
67700 1.95193
67800 1.89207
67900 1.83336
68000 1.78124
68100 1.73967
68200 1.71058
68300 1.69362
68400 1.68532
68500 1.67709
68600 1.65575
68700 1.60683
68800 1.51857
68900 1.39236
69000 1.24906
69100 1.11339
69200 0.999416
69300 0.911214
69400 0.845286
69500 0.795798
69600 0.757513
69700 0.726825
69800 0.714343
69900 0.729813
70000 0.773598
70100 0.837812
70200 0.927123
70300 1.05832
70400 1.23947
70500 1.45619
70600 1.68088
70700 1.89126
70800 2.0779
70900 2.24044
71000 2.38205
71100 2.50612
71200 2.61495
71300 2.70977
71400 2.79114
71500 2.85899
71600 2.91263
71700 2.95174
71800 2.97832
71900 2.99774
72000 3.01743
72100 3.04308
72200 3.0774
72300 3.12179
72400 3.17712
72500 3.24343
72600 3.32015
72700 3.40689
72800 3.5034
72900 3.61094
73000 3.73401
73100 3.87933
73200 4.05181
73300 4.24962
73400 4.46415
73500 4.68447
73600 4.90136
73700 5.10974
73800 5.30954
73900 5.50318
74000 5.69245
74100 5.87886
74200 6.06482
74300 6.25028
74400 6.42861
74500 6.59
74600 6.72792
74700 6.83988
74800 6.92705
74900 6.9928
75000 7.0384
75100 7.06446
75200 7.0742
75300 7.07217
75400 7.06221
75500 7.04612
75600 7.021
75700 6.98093
75800 6.9208
75900 6.84014
76000 6.74898
76100 6.6735
76200 6.64816
76300 6.69796
76400 6.83562
76500 7.0771
76600 7.4471
76700 7.96045
76800 8.59066
76900 9.27558
77000 9.95082
77100 10.5687
77200 11.1004
77300 11.5356
77400 11.8795
77500 12.1423
77600 12.332
