# Time-averaged data for fix msdoutY
# TimeStep c_msdO[3]
100 7.15151
200 7.15371
300 7.15768
400 7.16379
500 7.17273
600 7.18533
700 7.20307
800 7.23118
900 7.28513
1000 7.39523
1100 7.59776
1200 7.91839
1300 8.35752
1400 8.89016
1500 9.48663
1600 10.1266
1700 10.793
1800 11.463
1900 12.1107
2000 12.717
2100 13.2732
2200 13.7761
2300 14.227
2400 14.6349
2500 15.018
2600 15.4016
2700 15.8153
2800 16.2817
2900 16.7981
3000 17.3348
3100 17.8592
3200 18.3463
3300 18.7886
3400 19.2024
3500 19.6138
3600 20.0421
3700 20.4894
3800 20.9412
3900 21.3786
4000 21.7894
4100 22.1766
4200 22.5522
4300 22.9328
4400 23.342
4500 23.8151
4600 24.4018
4700 25.1559
4800 26.0645
4900 26.9592
5000 27.6166
5100 27.9575
5200 28.0484
5300 27.9564
5400 27.6974
5500 27.265
5600 26.6479
5700 25.8332
5800 24.811
5900 23.5892
6000 22.2138
6100 20.7835
6200 19.4359
6300 18.3017
6400 17.4508
6500 16.8888
6600 16.6144
6700 16.6253
6800 16.8845
6900 17.3349
7000 17.8951
7100 18.5311
7200 19.2403
7300 20.0662
7400 21.1071
7500 22.45
7600 24.0358
7700 25.6637
7800 27.1393
7900 28.3678
8000 29.3439
8100 30.1021
8200 30.6816
8300 31.1123
8400 31.413
8500 31.5922
8600 31.6497
8700 31.5753
8800 31.3492
8900 30.9441
9000 30.3332
9100 29.5088
9200 28.5051
9300 27.397
9400 26.2577
9500 25.1185
9600 23.9752
9700 22.8268
9800 21.6909
9900 20.5976
10000 19.5784
10100 18.6576
10200 17.8497
10300 17.1614
10400 16.5955
10500 16.1546
10600 15.8425
10700 15.6857
10800 15.7222
10900 15.9698
11000 16.4324
11100 17.1164
11200 18.0495
11300 19.1986
11400 20.4285
11500 21.5481
11600 22.4189
11700 23.0135
11800 23.3812
11900 23.5875
12000 23.6841
12100 23.7055
12200 23.6717
12300 23.5984
12400 23.502
12500 23.3991
12600 23.2968
12700 23.1901
12800 23.0676
12900 22.9131
13000 22.7146
13100 22.4818
13200 22.25
13300 22.0633
13400 21.9535
13500 21.9282
13600 21.979
13700 22.0903
13800 22.239
13900 22.3944
14000 22.5251
14100 22.6054
14200 22.622
14300 22.5694
14400 22.4447
14500 22.2607
14600 22.1009
14700 22.1556
14800 22.5342
14900 23.1597
15000 23.8184
15100 24.3143
15200 24.6305
15300 24.797
15400 24.8344
15500 24.7512
15600 24.5484
15700 24.2155
15800 23.7281
15900 23.0426
16000 22.0935
16100 20.8151
16200 19.2149
16300 17.4647
16400 15.8555
16500 14.7513
16600 14.4175
16700 14.7204
16800 15.2753
