# Time-averaged data for fix msdout
# TimeStep c_msdO[1]
100 0.620147
200 0.619027
300 0.618272
400 0.624118
500 0.643752
600 0.683955
700 0.752276
800 0.852689
900 0.975963
1000 1.10408
1100 1.23652
1200 1.37962
1300 1.53208
1400 1.69509
1500 1.86643
1600 2.02976
1700 2.13958
1800 2.18743
1900 2.17726
2000 2.12198
2100 2.06493
2200 2.02046
2300 1.98547
2400 1.95182
2500 1.92338
2600 1.90814
2700 1.90372
2800 1.90443
2900 1.91071
3000 1.9242
3100 1.94277
3200 1.96389
3300 1.98808
3400 2.01652
3500 2.04806
3600 2.06867
3700 2.04725
3800 1.99014
3900 1.93586
4000 1.89637
4100 1.87249
4200 1.86108
4300 1.85892
4400 1.86431
4500 1.87605
4600 1.89451
4700 1.92128
4800 1.95871
4900 2.00908
5000 2.07576
5100 2.16626
5200 2.29599
5300 2.48908
5400 2.76646
5500 3.12283
5600 3.52259
5700 3.9258
5800 4.31183
5900 4.67784
6000 5.02807
6100 5.37003
6200 5.71292
6300 6.06339
6400 6.42514
6500 6.80298
6600 7.20091
6700 7.61121
6800 8.00962
6900 8.36387
7000 8.64388
7100 8.82337
7200 8.8644
7300 8.70924
7400 8.36522
7500 7.91695
7600 7.44272
7700 7.01776
7800 6.6557
7900 6.33203
8000 6.02651
8100 5.73036
8200 5.44155
8300 5.16117
8400 4.89111
8500 4.63334
8600 4.39062
8700 4.16741
8800 3.96905
8900 3.80007
9000 3.66353
9100 3.55945
9200 3.48097
9300 3.41661
9400 3.35567
9500 3.29112
9600 3.21855
9700 3.13507
9800 3.03875
9900 2.92834
10000 2.80283
10100 2.66156
10200 2.50579
10300 2.34035
10400 2.1734
10500 2.01302
10600 1.86484
10700 1.732
10800 1.61437
10900 1.50934
11000 1.41424
11100 1.32706
11200 1.2457
11300 1.16756
11400 1.09044
11500 1.01302
11600 0.933906
11700 0.85121
11800 0.763833
11900 0.672973
12000 0.581911
12100 0.495461
12200 0.419648
12300 0.360088
12400 0.318597
12500 0.292523
12600 0.278158
12700 0.272403
12800 0.273017
12900 0.279315
13000 0.29269
13100 0.316217
13200 0.353148
13300 0.406185
13400 0.478179
13500 0.572692
13600 0.692992
13700 0.842687
13800 1.02811
13900 1.25883
14000 1.53674
14100 1.79708
14200 1.9601
14300 2.01111
14400 1.99688
14500 1.97327
14600 1.94809
14700 1.92054
14800 1.89036
14900 1.85797
15000 1.82407
15100 1.78941
15200 1.75722
15300 1.73426
15400 1.73131
15500 1.76358
15600 1.84781
15700 1.99479
15800 2.20108
15900 2.44931
16000 2.71381
16100 2.96911
16200 3.19644
16300 3.38779
16400 3.5433
16500 3.66711
16600 3.76478
16700 3.84176
16800 3.90225
16900 3.94856
17000 3.98119
17100 3.99787
17200 3.98995
17300 3.92322
17400 3.73588
17500 3.40135
17600 2.95787
17700 2.49341
17800 2.08527
17900 1.75525
18000 1.50532
18100 1.32786
18200 1.21106
18300 1.14108
18400 1.10535
18500 1.0946
18600 1.10276
18700 1.12606
18800 1.16115
18900 1.20474
19000 1.25438
19100 1.30851
19200 1.36582
19300 1.42494
19400 1.48486
19500 1.54517
19600 1.6061
19700 1.66796
19800 1.73174
19900 1.7995
20000 1.87406
20100 1.95929
20200 2.06124
20300 2.19006
20400 2.36327
20500 2.60497
20600 2.89336
20700 3.14205
20800 3.27253
20900 3.29191
21000 3.26389
21100 3.22057
21200 3.17744
21300 3.14266
21400 3.11834
21500 3.10403
21600 3.0993
21700 3.10446
21800 3.12097
21900 3.15406
22000 3.21944
22100 3.34675
22200 3.54775
22300 3.76605
22400 3.93134
22500 4.03126
22600 4.08128
22700 4.1048
22800 4.12429
22900 4.16093
23000 4.22429
23100 4.30992
23200 4.40703
23300 4.50623
23400 4.60117
23500 4.68754
23600 4.76147
23700 4.81838
23800 4.85302
23900 4.85528
24000 4.80156
24100 4.64611
24200 4.34891
24300 3.9602
24400 3.5615
24500 3.19086
24600 2.83461
24700 2.49145
24800 2.18026
24900 1.91067
25000 1.68231
25100 1.49318
25200 1.33959
25300 1.21698
25400 1.12119
25500 1.04871
25600 0.996716
25700 0.962828
25800 0.945638
25900 0.945876
26000 0.968279
26100 1.02081
26200 1.10895
26300 1.23292
26400 1.38941
26500 1.57297
26600 1.77751
26700 1.99483
26800 2.21587
26900 2.43237
27000 2.61295
27100 2.72606
27200 2.77682
27300 2.80546
27400 2.8108
27500 2.78108
27600 2.71658
27700 2.63041
27800 2.53735
27900 2.44221
28000 2.35346
28100 2.2764
28200 2.20392
28300 2.12686
28400 2.04781
28500 1.97144
28600 1.8944
28700 1.81123
28800 1.72181
28900 1.63076
29000 1.54596
29100 1.4808
29200 1.45193
29300 1.47106
29400 1.5451
29500 1.68575
29600 1.91195
29700 2.23329
29800 2.63132
29900 3.06967
30000 3.51253
30100 3.92663
30200 4.2808
30300 4.55637
30400 4.75314
30500 4.87941
30600 4.94311
30700 4.95349
30800 4.92421
30900 4.87115
31000 4.80918
31100 4.74423
31200 4.67007
31300 4.57832
31400 4.46298
31500 4.31921
31600 4.14179
31700 3.92496
31800 3.6643
31900 3.36255
32000 3.037
32100 2.72046
32200 2.44082
32300 2.20038
32400 1.99211
32500 1.81896
32600 1.69192
32700 1.61465
32800 1.57308
32900 1.55101
33000 1.53876
33100 1.53124
33200 1.52589
33300 1.5216
33400 1.5181
33500 1.51568
33600 1.51525
33700 1.51897
33800 1.53233
33900 1.56866
34000 1.6506
34100 1.78341
34200 1.9255
34300 2.03893
34400 2.12661
34500 2.20137
34600 2.26828
34700 2.29108
34800 2.21533
34900 2.0276
35000 1.76645
35100 1.49921
35200 1.24992
35300 1.03115
35400 0.849063
35500 0.701522
35600 0.581972
35700 0.483865
35800 0.402785
35900 0.33613
36000 0.282018
36100 0.238871
36200 0.204972
36300 0.178307
36400 0.158332
36500 0.149378
36600 0.162937
36700 0.213851
36800 0.309603
36900 0.44226
37000 0.590456
37100 0.731512
37200 0.853857
37300 0.957231
37400 1.04586
37500 1.12489
37600 1.19973
37700 1.27501
37800 1.35455
37900 1.44342
38000 1.55019
38100 1.68656
38200 1.86106
38300 2.06883
38400 2.29356
38500 2.49054
38600 2.57832
38700 2.52889
38800 2.36541
38900 2.14073
39000 1.91893
39100 1.72034
39200 1.54715
39300 1.40156
39400 1.28368
39500 1.19143
39600 1.12166
39700 1.07196
39800 1.04184
39900 1.03206
40000 1.04345
40100 1.0755
40200 1.12674
40300 1.19656
40400 1.28593
40500 1.39674
40600 1.52999
40700 1.68485
40800 1.85332
40900 2.01721
41000 2.17765
41100 2.35256
41200 2.55436
41300 2.79982
41400 3.10658
41500 3.48308
41600 3.91573
41700 4.36404
41800 4.77244
41900 5.0974
42000 5.32281
42100 5.45215
42200 5.49546
42300 5.46054
42400 5.35195
42500 5.17165
42600 4.92046
42700 4.59384
42800 4.17644
42900 3.6577
43000 3.09087
43100 2.61078
43200 2.31248
43300 2.17841
43400 2.15319
43500 2.20544
43600 2.32326
43700 2.49871
43800 2.72241
43900 2.98176
44000 3.26182
44100 3.54834
44200 3.83064
44300 4.10248
44400 4.36044
44500 4.60103
44600 4.81865
44700 5.00437
44800 5.14454
44900 5.22009
45000 5.20292
45100 5.04693
45200 4.71327
45300 4.19448
45400 3.56267
45500 2.94286
45600 2.4479
45700 2.10983
45800 1.90066
45900 1.78371
46000 1.73339
46100 1.73355
46200 1.77273
46300 1.84133
46400 1.93123
46500 2.0372
46600 2.15719
46700 2.29319
46800 2.45448
46900 2.66552
47000 2.96846
47100 3.38689
47200 3.84412
47300 4.12015
47400 4.02611
47500 3.60128
47600 3.10871
47700 2.73575
47800 2.48612
47900 2.31085
48000 2.17281
48100 2.04945
48200 1.93034
48300 1.82084
48400 1.72207
48500 1.6379
48600 1.574
48700 1.53663
48800 1.53219
48900 1.56762
49000 1.65289
49100 1.8068
49200 2.05393
49300 2.37565
49400 2.67862
49500 2.88132
49600 2.98944
49700 3.04285
49800 3.07101
49900 3.09082
50000 3.11078
50100 3.13415
50200 3.16184
50300 3.19352
50400 3.22691
50500 3.25884
50600 3.28725
50700 3.31208
50800 3.33463
50900 3.35413
51000 3.36453
51100 3.35765
51200 3.32871
51300 3.27636
51400 3.20132
51500 3.10595
51600 2.99444
51700 2.87182
51800 2.74318
51900 2.61238
52000 2.48172
52100 2.35183
52200 2.22236
52300 2.09784
52400 2.00262
52500 1.97204
52600 1.99269
52700 2.01325
52800 2.01598
52900 2.00569
53000 1.98509
53100 1.95465
53200 1.91382
53300 1.86163
53400 1.79862
53500 1.72663
53600 1.64696
53700 1.56126
53800 1.47639
53900 1.40785
54000 1.37704
54100 1.39992
54200 1.47581
54300 1.58927
54400 1.72113
54500 1.8482
54600 1.95829
54700 2.05323
54800 2.14253
54900 2.23171
