# Time-averaged data for fix msdoutZ
# TimeStep c_msdO[4]
100 21.4229
200 21.4477
300 21.4986
400 21.5879
500 21.7393
600 21.9927
700 22.431
800 23.1006
900 23.9945
1000 25.054
1100 26.1616
1200 27.2271
1300 28.1996
1400 29.0551
1500 29.7904
1600 30.4124
1700 30.9298
1800 31.3483
1900 31.6746
2000 31.9188
2100 32.0928
2200 32.2108
2300 32.2925
2400 32.3635
2500 32.4522
2600 32.5894
2700 32.803
2800 33.1079
2900 33.4985
3000 33.9477
3100 34.4169
3200 34.8628
3300 35.2423
3400 35.5217
3500 35.685
3600 35.7274
3700 35.6512
3800 35.4684
3900 35.2011
4000 34.8737
4100 34.499
4200 34.0718
4300 33.605
4400 33.1757
4500 32.8841
4600 32.7527
4700 32.7118
4800 32.6805
4900 32.61
5000 32.482
5100 32.301
5200 32.0889
5300 31.8853
5400 31.7452
5500 31.7416
5600 31.9809
5700 32.5952
5800 33.623
5900 34.7759
6000 35.6001
6100 35.9901
6200 36.0644
6300 35.8793
6400 35.469
6500 34.891
6600 34.2341
6700 33.6076
6800 33.1198
6900 32.8501
7000 32.8363
7100 33.0847
7200 33.5815
7300 34.2915
7400 35.1482
7500 36.0456
7600 36.8574
7700 37.4543
7800 37.728
7900 37.6148
8000 37.1247
8100 36.3587
8200 35.499
8300 34.7458
8400 34.2208
8500 33.9183
8600 33.7836
8700 33.7764
8800 33.8674
8900 34.025
9000 34.2119
9100 34.3927
9200 34.5358
9300 34.6181
9400 34.6332
9500 34.5922
9600 34.5185
9700 34.437
9800 34.369
9900 34.3311
10000 34.3312
10100 34.374
10200 34.4584
10300 34.5718
10400 34.6743
10500 34.7039
10600 34.613
10700 34.3881
10800 34.0478
10900 33.6301
11000 33.1848
11100 32.7681
11200 32.4375
11300 32.2515
11400 32.2544
11500 32.4562
11600 32.8244
11700 33.2847
11800 33.7479
11900 34.1476
12000 34.4473
12100 34.6388
12200 34.7245
12300 34.712
12400 34.6152
12500 34.4602
12600 34.2799
12700 34.1108
12800 33.9878
12900 33.9348
13000 33.9616
13100 34.0649
13200 34.2355
13300 34.4531
13400 34.673
13500 34.8209
13600 34.8218
13700 34.6383
13800 34.277
13900 33.7713
14000 33.165
14100 32.5082
14200 31.8621
14300 31.2961
14400 30.8848
14500 30.7034
14600 30.837
14700 31.4039
14800 32.4878
14900 33.9095
15000 35.191
15100 36.0035
15200 36.3641
15300 36.3661
15400 36.0614
15500 35.4974
15600 34.7494
15700 33.9337
15800 33.1921
15900 32.6529
16000 32.399
16100 32.465
16200 32.8574
16300 33.5643
16400 34.5549
16500 35.7463
16600 36.9986
16700 38.1469
16800 39.0483
16900 39.5973
17000 39.7144
17100 39.3342
17200 38.4197
17300 37.0136
17400 35.3005
17500 33.6046
17600 32.2327
17700 31.2644
17800 30.7432
17900 31.1509
18000 32.4438
18100 33.8751
18200 35.1681
18300 36.2663
18400 37.1245
18500 37.6926
18600 37.9414
18700 37.8605
18800 37.4584
18900 36.7749
19000 35.9021
19100 34.9797
19200 34.1509
19300 33.5003
19400 33.058
19500 32.8365
19600 32.85
19700 33.1117
19800 33.6026
19900 34.2284
20000 34.84
20100 35.307
20200 35.5575
20300 35.5616
20400 35.2985
20500 34.7805
20600 34.1506
20700 33.6301
20800 33.3205
20900 33.1904
21000 33.1922
21100 33.3036
21200 33.5121
21300 33.799
21400 34.1354
21500 34.4842
21600 34.8094
21700 35.0807
21800 35.2826
21900 35.4186
22000 35.5022
22100 35.5428
22200 35.5473
22300 35.5199
22400 35.4682
22500 35.3999
22600 35.3271
22700 35.2591
22800 35.1997
22900 35.1431
23000 35.0781
23100 34.9887
23200 34.8505
23300 34.6339
23400 34.3316
23500 33.9906
23600 33.6866
23700 33.4791
23800 33.4251
23900 33.5758
24000 33.922
24100 34.3914
24200 34.8999
24300 35.3759
24400 35.7609
24500 36.0043
24600 36.0677
24700 35.9269
24800 35.5796
24900 35.0558
25000 34.407
25100 33.69
25200 32.9843
25300 32.4815
25400 32.3706
25500 32.5972
25600 33.001
25700 33.5035
25800 34.0854
25900 34.7298
26000 35.4059
26100 36.0772
26200 36.7035
26300 37.2405
26400 37.6421
26500 37.8612
26600 37.8582
26700 37.6285
26800 37.2335
26900 36.7846
27000 36.3805
27100 36.0834
27200 35.9187
27300 35.8773
27400 35.9376
27500 36.0813
27600 36.2921
27700 36.5474
27800 36.8215
27900 37.0849
28000 37.2958
28100 37.3995
28200 37.3459
28300 37.1137
28400 36.7398
28500 36.3072
28600 35.9211
28700 35.6607
28800 35.5667
28900 35.6494
29000 35.8933
29100 36.2577
29200 36.6765
29300 37.076
29400 37.3988
29500 37.6031
29600 37.6579
29700 37.5394
29800 37.2301
29900 36.7219
30000 36.0376
30100 35.2589
30200 34.5219
30300 33.9821
30400 33.7397
30500 33.7906
30600 34.0711
30700 34.5177
30800 35.0711
30900 35.6681
31000 36.2358
31100 36.6932
31200 36.9645
31300 36.9836
31400 36.6975
31500 36.066
31600 35.0871
31700 33.9021
31800 32.8701
31900 32.23
32000 31.9454
32100 31.9674
32200 32.2488
32300 32.6938
32400 33.1829
32500 33.6384
32600 34.0255
32700 34.3596
32800 34.6631
32900 34.9592
33000 35.2334
33100 35.4369
33200 35.5273
33300 35.5068
33400 35.4076
33500 35.2663
33600 35.1121
33700 34.9642
33800 34.8385
33900 34.749
34000 34.7031
34100 34.7051
34200 34.7542
34300 34.8401
34400 34.9387
34500 35.0087
34600 35.008
34700 34.9101
34800 34.7179
34900 34.4565
35000 34.1684
35100 33.9045
35200 33.7073
35300 33.6038
35400 33.6074
35500 33.7268
35600 33.9789
35700 34.3909
35800 34.9666
35900 35.6338
36000 36.262
36100 36.7508
36200 37.065
36300 37.2063
36400 37.1829
36500 37.0016
36600 36.6867
36700 36.2941
36800 35.8998
36900 35.5683
37000 35.3292
37100 35.1956
37200 35.1813
37300 35.2815
37400 35.4574
37500 35.6412
37600 35.7662
37700 35.7962
37800 35.7302
37900 35.5781
38000 35.3466
38100 35.0555
38200 34.7483
38300 34.469
38400 34.2462
38500 34.0963
